attack,defense,angle,slide,jump,keeper,threshold
100,170,4,1,0,1,80
100,170,4,0,1,1,88
100,170,4,1,1,1,96
100,170,5,0,0,0,97
100,170,5,1,0,0,105
100,170,5,0,1,0,113
100,170,5,1,1,0,121
100,170,5,0,0,1,76
100,170,5,1,0,1,84
100,170,5,0,1,1,92
100,170,5,1,1,1,100
100,170,6,0,0,0,101
100,170,6,1,0,0,109
100,170,6,0,1,0,117
100,170,6,1,1,0,125
100,170,6,0,0,1,80
100,170,6,1,0,1,88
100,170,6,0,1,1,96
100,170,6,1,1,1,104
100,170,7,0,0,0,105
100,170,7,1,0,0,113
100,170,7,0,1,0,121
100,170,7,1,1,0,129
100,170,7,0,0,1,84
100,170,7,1,0,1,92
100,170,7,0,1,1,100
100,170,7,1,1,1,108
100,200,0,0,0,0,94
100,200,0,1,0,0,102
100,200,0,0,1,0,110
100,200,0,1,1,0,118
100,200,0,0,0,1,69
100,200,0,1,0,1,77
100,200,0,0,1,1,85
100,200,0,1,1,1,93
100,200,1,0,0,0,90
100,200,1,1,0,0,98
100,200,1,0,1,0,106
100,200,1,1,1,0,114
100,200,1,0,0,1,65
100,200,1,1,0,1,73
100,200,1,0,1,1,81
100,200,1,1,1,1,89
100,200,2,0,0,0,86
100,200,2,1,0,0,94
100,200,2,0,1,0,102
100,200,2,1,1,0,110
100,200,2,0,0,1,61
100,200,2,1,0,1,69
100,200,2,0,1,1,77
100,200,2,1,1,1,85
100,200,3,0,0,0,82
100,200,3,1,0,0,90
100,200,3,0,1,0,98
100,200,3,1,1,0,106
100,200,3,0,0,1,57
100,200,3,1,0,1,65
100,200,3,0,1,1,73
100,200,3,1,1,1,81
100,200,4,0,0,0,78
100,200,4,1,0,0,86
100,200,4,0,1,0,94
100,200,4,1,1,0,102
100,200,4,0,0,1,53
100,200,4,1,0,1,61
100,200,4,0,1,1,69
100,200,4,1,1,1,77
100,200,5,0,0,0,82
100,200,5,1,0,0,90
100,200,5,0,1,0,98
100,200,5,1,1,0,106
100,200,5,0,0,1,57
100,200,5,1,0,1,65
100,200,5,0,1,1,73
100,200,5,1,1,1,81
100,200,6,0,0,0,86
100,200,6,1,0,0,94
100,200,6,0,1,0,102
100,200,6,1,1,0,110
100,200,6,0,0,1,61
100,200,6,1,0,1,69
100,200,6,0,1,1,77
100,200,6,1,1,1,85
100,200,7,0,0,0,90
100,200,7,1,0,0,98
100,200,7,0,1,0,106
100,200,7,1,1,0,114
100,200,7,0,0,1,65
100,200,7,1,0,1,73
100,200,7,0,1,1,81
100,200,7,1,1,1,89
100,204,0,0,0,0,92
100,204,0,1,0,0,100
100,204,0,0,1,0,108
100,204,0,1,1,0,116
100,204,0,0,0,1,66
100,204,0,1,0,1,74
100,204,0,0,1,1,82
100,204,0,1,1,1,90
100,204,1,0,0,0,88
100,204,1,1,0,0,96
100,204,1,0,1,0,104
100,204,1,1,1,0,112
100,204,1,0,0,1,62
100,204,1,1,0,1,70
100,204,1,0,1,1,78
100,204,1,1,1,1,86
100,204,2,0,0,0,84
100,204,2,1,0,0,92
100,204,2,0,1,0,100
100,204,2,1,1,0,108
100,204,2,0,0,1,58
100,204,2,1,0,1,66
100,204,2,0,1,1,74
100,204,2,1,1,1,82
100,204,3,0,0,0,80
100,204,3,1,0,0,88
100,204,3,0,1,0,96
100,204,3,1,1,0,104
100,204,3,0,0,1,54
100,204,3,1,0,1,62
100,204,3,0,1,1,70
100,204,3,1,1,1,78
100,204,4,0,0,0,76
100,204,4,1,0,0,84
100,204,4,0,1,0,92
100,204,4,1,1,0,100
100,204,4,0,0,1,50
100,204,4,1,0,1,58
100,204,4,0,1,1,66
100,204,4,1,1,1,74
100,204,5,0,0,0,80
100,204,5,1,0,0,88
100,204,5,0,1,0,96
100,204,5,1,1,0,104
100,204,5,0,0,1,54
100,204,5,1,0,1,62
100,204,5,0,1,1,70
100,204,5,1,1,1,78
100,204,6,0,0,0,84
100,204,6,1,0,0,92
100,204,6,0,1,0,100
100,204,6,1,1,0,108
100,204,6,0,0,1,58
100,204,6,1,0,1,66
100,204,6,0,1,1,74
100,204,6,1,1,1,82
100,204,7,0,0,0,88
100,204,7,1,0,0,96
100,204,7,0,1,0,104
100,204,7,1,1,0,112
100,204,7,0,0,1,62
100,204,7,1,0,1,70
100,204,7,0,1,1,78
100,204,7,1,1,1,86
100,205,0,0,0,0,91
100,205,0,1,0,0,99
100,205,0,0,1,0,107
100,205,0,1,1,0,115
100,205,0,0,0,1,66
100,205,0,1,0,1,74
100,205,0,0,1,1,82
100,205,0,1,1,1,90
100,205,1,0,0,0,87
100,205,1,1,0,0,95
100,205,1,0,1,0,103
100,205,1,1,1,0,111
100,205,1,0,0,1,62
100,205,1,1,0,1,70
100,205,1,0,1,1,78
100,205,1,1,1,1,86
100,205,2,0,0,0,83
100,205,2,1,0,0,91
100,205,2,0,1,0,99
100,205,2,1,1,0,107
100,205,2,0,0,1,58
100,205,2,1,0,1,66
100,205,2,0,1,1,74
100,205,2,1,1,1,82
100,205,3,0,0,0,79
100,205,3,1,0,0,87
100,205,3,0,1,0,95
100,205,3,1,1,0,103
100,205,3,0,0,1,54
100,205,3,1,0,1,62
100,205,3,0,1,1,70
100,205,3,1,1,1,78
100,205,4,0,0,0,75
100,205,4,1,0,0,83
100,205,4,0,1,0,91
100,205,4,1,1,0,99
100,205,4,0,0,1,50
100,205,4,1,0,1,58
100,205,4,0,1,1,66
100,205,4,1,1,1,74
100,205,5,0,0,0,79
100,205,5,1,0,0,87
100,205,5,0,1,0,95
100,205,5,1,1,0,103
100,205,5,0,0,1,54
100,205,5,1,0,1,62
100,205,5,0,1,1,70
100,205,5,1,1,1,78
100,205,6,0,0,0,83
100,205,6,1,0,0,91
100,205,6,0,1,0,99
100,205,6,1,1,0,107
100,205,6,0,0,1,58
100,205,6,1,0,1,66
100,205,6,0,1,1,74
100,205,6,1,1,1,82
100,205,7,0,0,0,87
100,205,7,1,0,0,95
100,205,7,0,1,0,103
100,205,7,1,1,0,111
100,205,7,0,0,1,62
100,205,7,1,0,1,70
100,205,7,0,1,1,78
100,205,7,1,1,1,86
100,249,0,0,0,0,69
100,249,0,1,0,0,77
100,249,0,0,1,0,85
100,249,0,1,1,0,93
100,249,0,0,0,1,66
100,249,0,1,0,1,74
100,249,0,0,1,1,82
100,249,0,1,1,1,90
100,249,1,0,0,0,65
100,249,1,1,0,0,73
100,249,1,0,1,0,81
100,249,1,1,1,0,89
100,249,1,0,0,1,62
100,249,1,1,0,1,70
100,249,1,0,1,1,78
100,249,1,1,1,1,86
100,249,2,0,0,0,61
100,249,2,1,0,0,69
100,249,2,0,1,0,77
100,249,2,1,1,0,85
100,249,2,0,0,1,58
100,249,2,1,0,1,66
100,249,2,0,1,1,74
100,249,2,1,1,1,82
100,249,3,0,0,0,57
100,249,3,1,0,0,65
100,249,3,0,1,0,73
100,249,3,1,1,0,81
100,249,3,0,0,1,54
100,249,3,1,0,1,62
100,249,3,0,1,1,70
100,249,3,1,1,1,78
100,249,4,0,0,0,53
100,249,4,1,0,0,61
100,249,4,0,1,0,69
100,249,4,1,1,0,77
100,249,4,0,0,1,50
100,249,4,1,0,1,58
100,249,4,0,1,1,66
100,249,4,1,1,1,74
100,249,5,0,0,0,57
100,249,5,1,0,0,65
100,249,5,0,1,0,73
100,249,5,1,1,0,81
100,249,5,0,0,1,54
100,249,5,1,0,1,62
100,249,5,0,1,1,70
100,249,5,1,1,1,78
100,249,6,0,0,0,61
100,249,6,1,0,0,69
100,249,6,0,1,0,77
100,249,6,1,1,0,85
100,249,6,0,0,1,58
100,249,6,1,0,1,66
100,249,6,0,1,1,74
100,249,6,1,1,1,82
100,249,7,0,0,0,65
100,249,7,1,0,0,73
100,249,7,0,1,0,81
100,249,7,1,1,0,89
100,249,7,0,0,1,62
100,249,7,1,0,1,70
100,249,7,0,1,1,78
100,249,7,1,1,1,86
100,250,0,0,0,0,69
100,250,0,1,0,0,77
100,250,0,0,1,0,85
100,250,0,1,1,0,93
100,250,0,0,0,1,66
100,250,0,1,0,1,74
100,250,0,0,1,1,82
100,250,0,1,1,1,90
100,250,1,0,0,0,65
100,250,1,1,0,0,73
100,250,1,0,1,0,81
100,250,1,1,1,0,89
100,250,1,0,0,1,62
100,250,1,1,0,1,70
100,250,1,0,1,1,78
100,250,1,1,1,1,86
100,250,2,0,0,0,61
100,250,2,1,0,0,69
100,250,2,0,1,0,77
100,250,2,1,1,0,85
100,250,2,0,0,1,58
100,250,2,1,0,1,66
100,250,2,0,1,1,74
100,250,2,1,1,1,82
100,250,3,0,0,0,57
100,250,3,1,0,0,65
100,250,3,0,1,0,73
100,250,3,1,1,0,81
100,250,3,0,0,1,54
100,250,3,1,0,1,62
100,250,3,0,1,1,70
100,250,3,1,1,1,78
100,250,4,0,0,0,53
100,250,4,1,0,0,61
100,250,4,0,1,0,69
100,250,4,1,1,0,77
100,250,4,0,0,1,50
100,250,4,1,0,1,58
100,250,4,0,1,1,66
100,250,4,1,1,1,74
100,250,5,0,0,0,57
100,250,5,1,0,0,65
100,250,5,0,1,0,73
100,250,5,1,1,0,81
100,250,5,0,0,1,54
100,250,5,1,0,1,62
100,250,5,0,1,1,70
100,250,5,1,1,1,78
100,250,6,0,0,0,61
100,250,6,1,0,0,69
100,250,6,0,1,0,77
100,250,6,1,1,0,85
100,250,6,0,0,1,58
100,250,6,1,0,1,66
100,250,6,0,1,1,74
100,250,6,1,1,1,82
100,250,7,0,0,0,65
100,250,7,1,0,0,73
100,250,7,0,1,0,81
100,250,7,1,1,0,89
100,250,7,0,0,1,62
100,250,7,1,0,1,70
100,250,7,0,1,1,78
100,250,7,1,1,1,86
140,100,0,0,0,0,164
140,100,0,1,0,0,172
140,100,0,0,1,0,180
140,100,0,1,1,0,188
140,100,0,0,0,1,151
140,100,0,1,0,1,159
140,100,0,0,1,1,167
140,100,0,1,1,1,175
140,100,1,0,0,0,160
140,100,1,1,0,0,168
140,100,1,0,1,0,176
140,100,1,1,1,0,184
140,100,1,0,0,1,147
140,100,1,1,0,1,155
140,100,1,0,1,1,163
140,100,1,1,1,1,171
140,100,2,0,0,0,156
140,100,2,1,0,0,164
140,100,2,0,1,0,172
140,100,2,1,1,0,180
140,100,2,0,0,1,143
140,100,2,1,0,1,151
140,100,2,0,1,1,159
140,100,2,1,1,1,167
140,100,3,0,0,0,152
140,100,3,1,0,0,160
140,100,3,0,1,0,168
140,100,3,1,1,0,176
140,100,3,0,0,1,139
140,100,3,1,0,1,147
140,100,3,0,1,1,155
140,100,3,1,1,1,163
140,100,4,0,0,0,148
140,100,4,1,0,0,156
140,100,4,0,1,0,164
140,100,4,1,1,0,172
140,100,4,0,0,1,135
140,100,4,1,0,1,143
140,100,4,0,1,1,151
140,100,4,1,1,1,159
140,100,5,0,0,0,152
140,100,5,1,0,0,160
140,100,5,0,1,0,168
140,100,5,1,1,0,176
140,100,5,0,0,1,139
140,100,5,1,0,1,147
140,100,5,0,1,1,155
140,100,5,1,1,1,163
140,100,6,0,0,0,156
140,100,6,1,0,0,164
140,100,6,0,1,0,172
140,100,6,1,1,0,180
140,100,6,0,0,1,143
140,100,6,1,0,1,151
140,100,6,0,1,1,159
140,100,6,1,1,1,167
140,100,7,0,0,0,160
140,100,7,1,0,0,168
140,100,7,0,1,0,176
140,100,7,1,1,0,184
140,100,7,0,0,1,147
140,100,7,1,0,1,155
140,100,7,0,1,1,163
140,100,7,1,1,1,171
140,140,0,0,0,0,144
140,140,0,1,0,0,152
140,140,0,0,1,0,160
140,140,0,1,1,0,168
140,140,0,0,0,1,126
140,140,0,1,0,1,134
140,140,0,0,1,1,142
140,140,0,1,1,1,150
140,140,1,0,0,0,140
140,140,1,1,0,0,148
140,140,1,0,1,0,156
140,140,1,1,1,0,164
140,140,1,0,0,1,122
140,140,1,1,0,1,130
140,140,1,0,1,1,138
140,140,1,1,1,1,146
140,140,2,0,0,0,136
140,140,2,1,0,0,144
140,140,2,0,1,0,152
140,140,2,1,1,0,160
140,140,2,0,0,1,118
140,140,2,1,0,1,126
140,140,2,0,1,1,134
140,140,2,1,1,1,142
140,140,3,0,0,0,132
140,140,3,1,0,0,140
140,140,3,0,1,0,148
140,140,3,1,1,0,156
140,140,3,0,0,1,114
140,140,3,1,0,1,122
140,140,3,0,1,1,130
140,140,3,1,1,1,138
140,140,4,0,0,0,128
140,140,4,1,0,0,136
140,140,4,0,1,0,144
140,140,4,1,1,0,152
140,140,4,0,0,1,110
140,140,4,1,0,1,118
140,140,4,0,1,1,126
140,140,4,1,1,1,134
140,140,5,0,0,0,132
140,140,5,1,0,0,140
140,140,5,0,1,0,148
140,140,5,1,1,0,156
140,140,5,0,0,1,114
140,140,5,1,0,1,122
140,140,5,0,1,1,130
140,140,5,1,1,1,138
140,140,6,0,0,0,136
140,140,6,1,0,0,144
140,140,6,0,1,0,152
140,140,6,1,1,0,160
140,140,6,0,0,1,118
140,140,6,1,0,1,126
140,140,6,0,1,1,134
140,140,6,1,1,1,142
140,140,7,0,0,0,140
140,140,7,1,0,0,148
140,140,7,0,1,0,156
140,140,7,1,1,0,164
140,140,7,0,0,1,122
140,140,7,1,0,1,130
140,140,7,0,1,1,138
140,140,7,1,1,1,146
140,170,0,0,0,0,129
140,170,0,1,0,0,137
140,170,0,0,1,0,145
140,170,0,1,1,0,153
140,170,0,0,0,1,108
140,170,0,1,0,1,116
140,170,0,0,1,1,124
140,170,0,1,1,1,132
140,170,1,0,0,0,125
140,170,1,1,0,0,133
140,170,1,0,1,0,141
140,170,1,1,1,0,149
140,170,1,0,0,1,104
140,170,1,1,0,1,112
140,170,1,0,1,1,120
140,170,1,1,1,1,128
140,170,2,0,0,0,121
140,170,2,1,0,0,129
140,170,2,0,1,0,137
140,170,2,1,1,0,145
140,170,2,0,0,1,100
140,170,2,1,0,1,108
140,170,2,0,1,1,116
140,170,2,1,1,1,124
140,170,3,0,0,0,117
140,170,3,1,0,0,125
140,170,3,0,1,0,133
140,170,3,1,1,0,141
140,170,3,0,0,1,96
140,170,3,1,0,1,104
140,170,3,0,1,1,112
140,170,3,1,1,1,120
140,170,4,0,0,0,113
140,170,4,1,0,0,121
140,170,4,0,1,0,129
140,170,4,1,1,0,137
140,170,4,0,0,1,92
140,170,4,1,0,1,100
140,170,4,0,1,1,108
140,170,4,1,1,1,116
140,170,5,0,0,0,117
140,170,5,1,0,0,125
140,170,5,0,1,0,133
140,170,5,1,1,0,141
140,170,5,0,0,1,96
140,170,5,1,0,1,104
140,170,5,0,1,1,112
140,170,5,1,1,1,120
140,170,6,0,0,0,121
140,170,6,1,0,0,129
140,170,6,0,1,0,137
140,170,6,1,1,0,145
140,170,6,0,0,1,100
140,170,6,1,0,1,108
140,170,6,0,1,1,116
140,170,6,1,1,1,124
140,170,7,0,0,0,125
140,170,7,1,0,0,133
140,170,7,0,1,0,141
140,170,7,1,1,0,149
140,170,7,0,0,1,104
140,170,7,1,0,1,112
140,170,7,0,1,1,120
140,170,7,1,1,1,128
140,200,0,0,0,0,114
140,200,0,1,0,0,122
140,200,0,0,1,0,130
140,200,0,1,1,0,138
140,200,0,0,0,1,89
140,200,0,1,0,1,97
140,200,0,0,1,1,105
140,200,0,1,1,1,113
140,200,1,0,0,0,110
140,200,1,1,0,0,118
140,200,1,0,1,0,126
140,200,1,1,1,0,134
140,200,1,0,0,1,85
140,200,1,1,0,1,93
140,200,1,0,1,1,101
140,200,1,1,1,1,109
140,200,2,0,0,0,106
140,200,2,1,0,0,114
140,200,2,0,1,0,122
140,200,2,1,1,0,130
140,200,2,0,0,1,81
140,200,2,1,0,1,89
140,200,2,0,1,1,97
140,200,2,1,1,1,105
140,200,3,0,0,0,102
140,200,3,1,0,0,110
140,200,3,0,1,0,118
140,200,3,1,1,0,126
140,200,3,0,0,1,77
140,200,3,1,0,1,85
140,200,3,0,1,1,93
140,200,3,1,1,1,101
140,200,4,0,0,0,98
140,200,4,1,0,0,106
140,200,4,0,1,0,114
140,200,4,1,1,0,122
140,200,4,0,0,1,73
140,200,4,1,0,1,81
140,200,4,0,1,1,89
140,200,4,1,1,1,97
140,200,5,0,0,0,102
140,200,5,1,0,0,110
140,200,5,0,1,0,118
140,200,5,1,1,0,126
140,200,5,0,0,1,77
140,200,5,1,0,1,85
140,200,5,0,1,1,93
140,200,5,1,1,1,101
140,200,6,0,0,0,106
140,200,6,1,0,0,114
140,200,6,0,1,0,122
140,200,6,1,1,0,130
140,200,6,0,0,1,81
140,200,6,1,0,1,89
140,200,6,0,1,1,97
140,200,6,1,1,1,105
140,200,7,0,0,0,110
140,200,7,1,0,0,118
140,200,7,0,1,0,126
140,200,7,1,1,0,134
140,200,7,0,0,1,85
140,200,7,1,0,1,93
140,200,7,0,1,1,101
140,200,7,1,1,1,109
140,204,0,0,0,0,112
140,204,0,1,0,0,120
140,204,0,0,1,0,128
140,204,0,1,1,0,136
140,204,0,0,0,1,86
140,204,0,1,0,1,94
140,204,0,0,1,1,102
140,204,0,1,1,1,110
140,204,1,0,0,0,108
140,204,1,1,0,0,116
140,204,1,0,1,0,124
140,204,1,1,1,0,132
140,204,1,0,0,1,82
140,204,1,1,0,1,90
140,204,1,0,1,1,98
140,204,1,1,1,1,106
140,204,2,0,0,0,104
140,204,2,1,0,0,112
140,204,2,0,1,0,120
140,204,2,1,1,0,128
140,204,2,0,0,1,78
140,204,2,1,0,1,86
140,204,2,0,1,1,94
140,204,2,1,1,1,102
140,204,3,0,0,0,100
140,204,3,1,0,0,108
140,204,3,0,1,0,116
140,204,3,1,1,0,124
140,204,3,0,0,1,74
140,204,3,1,0,1,82
140,204,3,0,1,1,90
140,204,3,1,1,1,98
140,204,4,0,0,0,96
140,204,4,1,0,0,104
140,204,4,0,1,0,112
140,204,4,1,1,0,120
140,204,4,0,0,1,70
140,204,4,1,0,1,78
140,204,4,0,1,1,86
140,204,4,1,1,1,94
140,204,5,0,0,0,100
140,204,5,1,0,0,108
140,204,5,0,1,0,116
140,204,5,1,1,0,124
140,204,5,0,0,1,74
140,204,5,1,0,1,82
140,204,5,0,1,1,90
140,204,5,1,1,1,98
140,204,6,0,0,0,104
140,204,6,1,0,0,112
140,204,6,0,1,0,120
140,204,6,1,1,0,128
140,204,6,0,0,1,78
140,204,6,1,0,1,86
140,204,6,0,1,1,94
140,204,6,1,1,1,102
140,204,7,0,0,0,108
140,204,7,1,0,0,116
140,204,7,0,1,0,124
140,204,7,1,1,0,132
140,204,7,0,0,1,82
140,204,7,1,0,1,90
140,204,7,0,1,1,98
140,204,7,1,1,1,106
140,205,0,0,0,0,111
140,205,0,1,0,0,119
140,205,0,0,1,0,127
140,205,0,1,1,0,135
140,205,0,0,0,1,86
140,205,0,1,0,1,94
140,205,0,0,1,1,102
140,205,0,1,1,1,110
140,205,1,0,0,0,107
140,205,1,1,0,0,115
140,205,1,0,1,0,123
140,205,1,1,1,0,131
140,205,1,0,0,1,82
140,205,1,1,0,1,90
140,205,1,0,1,1,98
140,205,1,1,1,1,106
140,205,2,0,0,0,103
140,205,2,1,0,0,111
140,205,2,0,1,0,119
140,205,2,1,1,0,127
140,205,2,0,0,1,78
140,205,2,1,0,1,86
140,205,2,0,1,1,94
140,205,2,1,1,1,102
140,205,3,0,0,0,99
140,205,3,1,0,0,107
140,205,3,0,1,0,115
140,205,3,1,1,0,123
140,205,3,0,0,1,74
140,205,3,1,0,1,82
140,205,3,0,1,1,90
140,205,3,1,1,1,98
140,205,4,0,0,0,95
140,205,4,1,0,0,103
140,205,4,0,1,0,111
140,205,4,1,1,0,119
140,205,4,0,0,1,70
140,205,4,1,0,1,78
140,205,4,0,1,1,86
140,205,4,1,1,1,94
140,205,5,0,0,0,99
140,205,5,1,0,0,107
140,205,5,0,1,0,115
140,205,5,1,1,0,123
140,205,5,0,0,1,74
140,205,5,1,0,1,82
140,205,5,0,1,1,90
140,205,5,1,1,1,98
140,205,6,0,0,0,103
140,205,6,1,0,0,111
140,205,6,0,1,0,119
140,205,6,1,1,0,127
140,205,6,0,0,1,78
140,205,6,1,0,1,86
140,205,6,0,1,1,94
140,205,6,1,1,1,102
140,205,7,0,0,0,107
140,205,7,1,0,0,115
140,205,7,0,1,0,123
140,205,7,1,1,0,131
140,205,7,0,0,1,82
140,205,7,1,0,1,90
140,205,7,0,1,1,98
140,205,7,1,1,1,106
140,249,0,0,0,0,89
140,249,0,1,0,0,97
140,249,0,0,1,0,105
140,249,0,1,1,0,113
140,249,0,0,0,1,86
140,249,0,1,0,1,94
140,249,0,0,1,1,102
140,249,0,1,1,1,110
140,249,1,0,0,0,85
140,249,1,1,0,0,93
140,249,1,0,1,0,101
140,249,1,1,1,0,109
140,249,1,0,0,1,82
140,249,1,1,0,1,90
140,249,1,0,1,1,98
140,249,1,1,1,1,106
140,249,2,0,0,0,81
140,249,2,1,0,0,89
140,249,2,0,1,0,97
140,249,2,1,1,0,105
140,249,2,0,0,1,78
140,249,2,1,0,1,86
140,249,2,0,1,1,94
140,249,2,1,1,1,102
140,249,3,0,0,0,77
140,249,3,1,0,0,85
140,249,3,0,1,0,93
140,249,3,1,1,0,101
140,249,3,0,0,1,74
140,249,3,1,0,1,82
140,249,3,0,1,1,90
140,249,3,1,1,1,98
140,249,4,0,0,0,73
140,249,4,1,0,0,81
140,249,4,0,1,0,89
140,249,4,1,1,0,97
140,249,4,0,0,1,70
140,249,4,1,0,1,78
140,249,4,0,1,1,86
140,249,4,1,1,1,94
140,249,5,0,0,0,77
140,249,5,1,0,0,85
140,249,5,0,1,0,93
140,249,5,1,1,0,101
140,249,5,0,0,1,74
140,249,5,1,0,1,82
140,249,5,0,1,1,90
140,249,5,1,1,1,98
140,249,6,0,0,0,81
140,249,6,1,0,0,89
140,249,6,0,1,0,97
140,249,6,1,1,0,105
140,249,6,0,0,1,78
140,249,6,1,0,1,86
140,249,6,0,1,1,94
140,249,6,1,1,1,102
140,249,7,0,0,0,85
140,249,7,1,0,0,93
140,249,7,0,1,0,101
140,249,7,1,1,0,109
140,249,7,0,0,1,82
140,249,7,1,0,1,90
140,249,7,0,1,1,98
140,249,7,1,1,1,106
140,250,0,0,0,0,89
140,250,0,1,0,0,97
140,250,0,0,1,0,105
140,250,0,1,1,0,113
140,250,0,0,0,1,86
140,250,0,1,0,1,94
140,250,0,0,1,1,102
140,250,0,1,1,1,110
140,250,1,0,0,0,85
140,250,1,1,0,0,93
140,250,1,0,1,0,101
140,250,1,1,1,0,109
140,250,1,0,0,1,82
140,250,1,1,0,1,90
140,250,1,0,1,1,98
140,250,1,1,1,1,106
140,250,2,0,0,0,81
140,250,2,1,0,0,89
140,250,2,0,1,0,97
140,250,2,1,1,0,105
140,250,2,0,0,1,78
140,250,2,1,0,1,86
140,250,2,0,1,1,94
140,250,2,1,1,1,102
140,250,3,0,0,0,77
140,250,3,1,0,0,85
140,250,3,0,1,0,93
140,250,3,1,1,0,101
140,250,3,0,0,1,74
140,250,3,1,0,1,82
140,250,3,0,1,1,90
140,250,3,1,1,1,98
140,250,4,0,0,0,73
140,250,4,1,0,0,81
140,250,4,0,1,0,89
140,250,4,1,1,0,97
