power,stamina,energy,base,remaining,agr,att,def,spd,thr,pow,sta,int
100,140,64,173,58,170,170,170,170,170,170,137,170
100,140,64,250,58,247,247,247,247,247,247,137,247
100,140,127,100,121,100,100,100,100,100,100,137,100
100,140,127,101,121,100,100,100,100,100,100,137,100
100,140,127,173,121,170,170,170,170,170,170,137,170
100,140,127,250,121,247,247,247,247,247,247,137,247
100,140,128,100,122,100,100,100,100,100,100,137,100
100,140,128,101,122,100,100,100,100,100,100,137,100
100,140,128,173,122,170,170,170,170,170,170,137,170
100,140,128,250,122,247,247,247,247,247,247,137,247
100,170,1,100,0,100,100,100,100,100,100,168,100
100,170,1,101,0,100,100,100,100,100,100,168,100
100,170,1,173,0,171,171,171,171,171,171,168,171
100,170,1,250,0,248,248,248,248,248,248,168,248
100,170,8,100,3,100,100,100,100,100,100,168,100
100,170,8,101,3,100,100,100,100,100,100,168,100
100,170,8,173,3,171,171,171,171,171,171,168,171
100,170,8,250,3,248,248,248,248,248,248,168,248
100,170,16,100,11,100,100,100,100,100,100,168,100
100,170,16,101,11,100,100,100,100,100,100,168,100
100,170,16,173,11,171,171,171,171,171,171,168,171
100,170,16,250,11,248,248,248,248,248,248,168,248
100,170,64,100,59,100,100,100,100,100,100,168,100
100,170,64,101,59,100,100,100,100,100,100,168,100
100,170,64,173,59,171,171,171,171,171,171,168,171
100,170,64,250,59,248,248,248,248,248,248,168,248
100,170,127,100,122,100,100,100,100,100,100,168,100
100,170,127,101,122,100,100,100,100,100,100,168,100
100,170,127,173,122,171,171,171,171,171,171,168,171
100,170,127,250,122,248,248,248,248,248,248,168,248
100,170,128,100,123,100,100,100,100,100,100,168,100
100,170,128,101,123,100,100,100,100,100,100,168,100
100,170,128,173,123,171,171,171,171,171,171,168,171
100,170,128,250,123,248,248,248,248,248,248,168,248
100,200,1,100,0,100,100,100,100,100,100,199,100
100,200,1,101,0,100,100,100,100,100,100,199,100
100,200,1,173,0,172,172,172,172,172,172,199,172
100,200,1,250,0,249,249,249,249,249,249,199,249
100,200,8,100,5,100,100,100,100,100,100,199,100
100,200,8,101,5,100,100,100,100,100,100,199,100
100,200,8,173,5,172,172,172,172,172,172,199,172
100,200,8,250,5,249,249,249,249,249,249,199,249
100,200,16,100,13,100,100,100,100,100,100,199,100
100,200,16,101,13,100,100,100,100,100,100,199,100
100,200,16,173,13,172,172,172,172,172,172,199,172
100,200,16,250,13,249,249,249,249,249,249,199,249
100,200,64,100,61,100,100,100,100,100,100,199,100
100,200,64,101,61,100,100,100,100,100,100,199,100
100,200,64,173,61,172,172,172,172,172,172,199,172
100,200,64,250,61,249,249,249,249,249,249,199,249
100,200,127,100,124,100,100,100,100,100,100,199,100
100,200,127,101,124,100,100,100,100,100,100,199,100
100,200,127,173,124,172,172,172,172,172,172,199,172
100,200,127,250,124,249,249,249,249,249,249,199,249
100,200,128,100,125,100,100,100,100,100,100,199,100
100,200,128,101,125,100,100,100,100,100,100,199,100
100,200,128,173,125,172,172,172,172,172,172,199,172
100,200,128,250,125,249,249,249,249,249,249,199,249
100,204,1,100,0,100,100,100,100,100,100,203,100
100,204,1,101,0,100,100,100,100,100,100,203,100
100,204,1,173,0,172,172,172,172,172,172,203,172
100,204,1,250,0,249,249,249,249,249,249,203,249
100,204,8,100,6,100,100,100,100,100,100,203,100
100,204,8,101,6,100,100,100,100,100,100,203,100
100,204,8,173,6,172,172,172,172,172,172,203,172
100,204,8,250,6,249,249,249,249,249,249,203,249
100,204,16,100,14,100,100,100,100,100,100,203,100
100,204,16,101,14,100,100,100,100,100,100,203,100
100,204,16,173,14,172,172,172,172,172,172,203,172
100,204,16,250,14,249,249,249,249,249,249,203,249
100,204,64,100,62,100,100,100,100,100,100,203,100
100,204,64,101,62,100,100,100,100,100,100,203,100
100,204,64,173,62,172,172,172,172,172,172,203,172
100,204,64,250,62,249,249,249,249,249,249,203,249
100,204,127,100,125,100,100,100,100,100,100,203,100
100,204,127,101,125,100,100,100,100,100,100,203,100
100,204,127,173,125,172,172,172,172,172,172,203,172
100,204,127,250,125,249,249,249,249,249,249,203,249
100,204,128,100,126,100,100,100,100,100,100,203,100
100,204,128,101,126,100,100,100,100,100,100,203,100
100,204,128,173,126,172,172,172,172,172,172,203,172
100,204,128,250,126,249,249,249,249,249,249,203,249
100,205,1,100,0,100,100,100,100,100,100,204,100
100,205,1,101,0,100,100,100,100,100,100,204,100
100,205,1,173,0,172,172,172,172,172,172,204,172
100,205,1,250,0,249,249,249,249,249,249,204,249
100,205,8,100,6,100,100,100,100,100,100,204,100
100,205,8,101,6,100,100,100,100,100,100,204,100
100,205,8,173,6,172,172,172,172,172,172,204,172
100,205,8,250,6,249,249,249,249,249,249,204,249
100,205,16,100,14,100,100,100,100,100,100,204,100
100,205,16,101,14,100,100,100,100,100,100,204,100
100,205,16,173,14,172,172,172,172,172,172,204,172
100,205,16,250,14,249,249,249,249,249,249,204,249
100,205,64,100,62,100,100,100,100,100,100,204,100
100,205,64,101,62,100,100,100,100,100,100,204,100
100,205,64,173,62,172,172,172,172,172,172,204,172
100,205,64,250,62,249,249,249,249,249,249,204,249
100,205,127,100,125,100,100,100,100,100,100,204,100
100,205,127,101,125,100,100,100,100,100,100,204,100
100,205,127,173,125,172,172,172,172,172,172,204,172
100,205,127,250,125,249,249,249,249,249,249,204,249
100,205,128,100,126,100,100,100,100,100,100,204,100
100,205,128,101,126,100,100,100,100,100,100,204,100
100,205,128,173,126,172,172,172,172,172,172,204,172
100,205,128,250,126,249,249,249,249,249,249,204,249
100,249,1,100,0,100,100,100,100,100,100,248,100
100,249,1,101,0,100,100,100,100,100,100,248,100
100,249,1,173,0,172,172,172,172,172,172,248,172
100,249,1,250,0,249,249,249,249,249,249,248,249
100,249,8,100,7,100,100,100,100,100,100,248,100
100,249,8,101,7,100,100,100,100,100,100,248,100
100,249,8,173,7,172,172,172,172,172,172,248,172
100,249,8,250,7,249,249,249,249,249,249,248,249
100,249,16,100,15,100,100,100,100,100,100,248,100
100,249,16,101,15,100,100,100,100,100,100,248,100
100,249,16,173,15,172,172,172,172,172,172,248,172
100,249,16,250,15,249,249,249,249,249,249,248,249
100,249,64,100,63,100,100,100,100,100,100,248,100
100,249,64,101,63,100,100,100,100,100,100,248,100
100,249,64,173,63,172,172,172,172,172,172,248,172
100,249,64,250,63,249,249,249,249,249,249,248,249
100,249,127,100,126,100,100,100,100,100,100,248,100
100,249,127,101,126,100,100,100,100,100,100,248,100
100,249,127,173,126,172,172,172,172,172,172,248,172
100,249,127,250,126,249,249,249,249,249,249,248,249
100,249,128,100,127,100,100,100,100,100,100,248,100
100,249,128,101,127,100,100,100,100,100,100,248,100
100,249,128,173,127,172,172,172,172,172,172,248,172
100,249,128,250,127,249,249,249,249,249,249,248,249
100,250,1,100,0,100,100,100,100,100,100,249,100
100,250,1,101,0,100,100,100,100,100,100,249,100
100,250,1,173,0,172,172,172,172,172,172,249,172
100,250,1,250,0,249,249,249,249,249,249,249,249
100,250,8,100,7,100,100,100,100,100,100,249,100
100,250,8,101,7,100,100,100,100,100,100,249,100
100,250,8,173,7,172,172,172,172,172,172,249,172
100,250,8,250,7,249,249,249,249,249,249,249,249
100,250,16,100,15,100,100,100,100,100,100,249,100
100,250,16,101,15,100,100,100,100,100,100,249,100
100,250,16,173,15,172,172,172,172,172,172,249,172
100,250,16,250,15,249,249,249,249,249,249,249,249
100,250,64,100,63,100,100,100,100,100,100,249,100
100,250,64,101,63,100,100,100,100,100,100,249,100
100,250,64,173,63,172,172,172,172,172,172,249,172
100,250,64,250,63,249,249,249,249,249,249,249,249
100,250,127,100,126,100,100,100,100,100,100,249,100
100,250,127,101,126,100,100,100,100,100,100,249,100
100,250,127,173,126,172,172,172,172,172,172,249,172
100,250,127,250,126,249,249,249,249,249,249,249,249
100,250,128,100,127,100,100,100,100,100,100,249,100
100,250,128,101,127,100,100,100,100,100,100,249,100
100,250,128,173,127,172,172,172,172,172,172,249,172
100,250,128,250,127,249,249,249,249,249,249,249,249
140,100,1,100,0,100,100,100,100,100,100,100,100
140,100,1,101,0,100,100,100,100,100,100,100,100
140,100,1,173,0,168,168,168,168,168,168,100,168
140,100,1,250,0,245,245,245,245,245,245,100,245
140,100,8,100,0,100,100,100,100,100,100,100,100
140,100,8,101,0,100,100,100,100,100,100,100,100
140,100,8,173,0,168,168,168,168,168,168,100,168
140,100,8,250,0,245,245,245,245,245,245,100,245
140,100,16,100,5,100,100,100,100,100,100,100,100
140,100,16,101,5,100,100,100,100,100,100,100,100
140,100,16,173,5,168,168,168,168,168,168,100,168
140,100,16,250,5,245,245,245,245,245,245,100,245
140,100,64,100,53,100,100,100,100,100,100,100,100
140,100,64,101,53,100,100,100,100,100,100,100,100
140,100,64,173,53,168,168,168,168,168,168,100,168
140,100,64,250,53,245,245,245,245,245,245,100,245
140,100,127,100,116,100,100,100,100,100,100,100,100
140,100,127,101,116,100,100,100,100,100,100,100,100
140,100,127,173,116,168,168,168,168,168,168,100,168
140,100,127,250,116,245,245,245,245,245,245,100,245
140,100,128,100,117,100,100,100,100,100,100,100,100
140,100,128,101,117,100,100,100,100,100,100,100,100
140,100,128,173,117,168,168,168,168,168,168,100,168
140,100,128,250,117,245,245,245,245,245,245,100,245
140,140,1,100,0,100,100,100,100,100,100,136,100
140,140,1,101,0,100,100,100,100,100,100,136,100
140,140,1,173,0,169,169,169,169,169,169,136,169
140,140,1,250,0,246,246,246,246,246,246,136,246
140,140,8,100,0,100,100,100,100,100,100,136,100
140,140,8,101,0,100,100,100,100,100,100,136,100
140,140,8,173,0,169,169,169,169,169,169,136,169
140,140,8,250,0,246,246,246,246,246,246,136,246
140,140,16,100,7,100,100,100,100,100,100,136,100
140,140,16,101,7,100,100,100,100,100,100,136,100
140,140,16,173,7,169,169,169,169,169,169,136,169
140,140,16,250,7,246,246,246,246,246,246,136,246
140,140,64,100,55,100,100,100,100,100,100,136,100
140,140,64,101,55,100,100,100,100,100,100,136,100
140,140,64,173,55,169,169,169,169,169,169,136,169
140,140,64,250,55,246,246,246,246,246,246,136,246
140,140,127,100,118,100,100,100,100,100,100,136,100
140,140,127,101,118,100,100,100,100,100,100,136,100
140,140,127,173,118,169,169,169,169,169,169,136,169
140,140,127,250,118,246,246,246,246,246,246,136,246
140,140,128,100,119,100,100,100,100,100,100,136,100
140,140,128,101,119,100,100,100,100,100,100,136,100
140,140,128,173,119,169,169,169,169,169,169,136,169
140,140,128,250,119,246,246,246,246,246,246,136,246
140,170,1,100,0,100,100,100,100,100,100,167,100
140,170,1,101,0,100,100,100,100,100,100,167,100
140,170,1,173,0,170,170,170,170,170,170,167,170
140,170,1,250,0,247,247,247,247,247,247,167,247
140,170,8,100,1,100,100,100,100,100,100,167,100
140,170,8,101,1,100,100,100,100,100,100,167,100
140,170,8,173,1,170,170,170,170,170,170,167,170
140,170,8,250,1,247,247,247,247,247,247,167,247
140,170,16,100,9,100,100,100,100,100,100,167,100
140,170,16,101,9,100,100,100,100,100,100,167,100
140,170,16,173,9,170,170,170,170,170,170,167,170
140,170,16,250,9,247,247,247,247,247,247,167,247
140,170,64,100,57,100,100,100,100,100,100,167,100
140,170,64,101,57,100,100,100,100,100,100,167,100
140,170,64,173,57,170,170,170,170,170,170,167,170
140,170,64,250,57,247,247,247,247,247,247,167,247
140,170,127,100,120,100,100,100,100,100,100,167,100
140,170,127,101,120,100,100,100,100,100,100,167,100
140,170,127,173,120,170,170,170,170,170,170,167,170
140,170,127,250,120,247,247,247,247,247,247,167,247
140,170,128,100,121,100,100,100,100,100,100,167,100
140,170,128,101,121,100,100,100,100,100,100,167,100
140,170,128,173,121,170,170,170,170,170,170,167,170
140,170,128,250,121,247,247,247,247,247,247,167,247
140,200,1,100,0,100,100,100,100,100,100,198,100
140,200,1,101,0,100,100,100,100,100,100,198,100
140,200,1,173,0,171,171,171,171,171,171,198,171
140,200,1,250,0,248,248,248,248,248,248,198,248
140,200,8,100,3,100,100,100,100,100,100,198,100
140,200,8,101,3,100,100,100,100,100,100,198,100
140,200,8,173,3,171,171,171,171,171,171,198,171
140,200,8,250,3,248,248,248,248,248,248,198,248
140,200,16,100,11,100,100,100,100,100,100,198,100
140,200,16,101,11,100,100,100,100,100,100,198,100
140,200,16,173,11,171,171,171,171,171,171,198,171
140,200,16,250,11,248,248,248,248,248,248,198,248
140,200,64,100,59,100,100,100,100,100,100,198,100
140,200,64,101,59,100,100,100,100,100,100,198,100
140,200,64,173,59,171,171,171,171,171,171,198,171
140,200,64,250,59,248,248,248,248,248,248,198,248
140,200,127,100,122,100,100,100,100,100,100,198,100
140,200,127,101,122,100,100,100,100,100,100,198,100
140,200,127,173,122,171,171,171,171,171,171,198,171
140,200,127,250,122,248,248,248,248,248,248,198,248
140,200,128,100,123,100,100,100,100,100,100,198,100
140,200,128,101,123,100,100,100,100,100,100,198,100
140,200,128,173,123,171,171,171,171,171,171,198,171
140,200,128,250,123,248,248,248,248,248,248,198,248
140,204,1,100,0,100,100,100,100,100,100,202,100
140,204,1,101,0,100,100,100,100,100,100,202,100
140,204,1,173,0,171,171,171,171,171,171,202,171
140,204,1,250,0,248,248,248,248,248,248,202,248
140,204,8,100,3,100,100,100,100,100,100,202,100
140,204,8,101,3,100,100,100,100,100,100,202,100
140,204,8,173,3,171,171,171,171,171,171,202,171
140,204,8,250,3,248,248,248,248,248,248,202,248
140,204,16,100,11,100,100,100,100,100,100,202,100
140,204,16,101,11,100,100,100,100,100,100,202,100
140,204,16,173,11,171,171,171,171,171,171,202,171
140,204,16,250,11,248,248,248,248,248,248,202,248
140,204,64,100,59,100,100,100,100,100,100,202,100
140,204,64,101,59,100,100,100,100,100,100,202,100
140,204,64,173,59,171,171,171,171,171,171,202,171
140,204,64,250,59,248,248,248,248,248,248,202,248
140,204,127,100,122,100,100,100,100,100,100,202,100
140,204,127,101,122,100,100,100,100,100,100,202,100
140,204,127,173,122,171,171,171,171,171,171,202,171
140,204,127,250,122,248,248,248,248,248,248,202,248
140,204,128,100,123,100,100,100,100,100,100,202,100
140,204,128,101,123,100,100,100,100,100,100,202,100
140,204,128,173,123,171,171,171,171,171,171,202,171
140,204,128,250,123,248,248,248,248,248,248,202,248
140,205,1,100,0,100,100,100,100,100,100,203,100
140,205,1,101,0,100,100,100,100,100,100,203,100
140,205,1,173,0,171,171,171,171,171,171,203,171
140,205,1,250,0,248,248,248,248,248,248,203,248
140,205,8,100,3,100,100,100,100,100,100,203,100
140,205,8,101,3,100,100,100,100,100,100,203,100
140,205,8,173,3,171,171,171,171,171,171,203,171
140,205,8,250,3,248,248,248,248,248,248,203,248
140,205,16,100,11,100,100,100,100,100,100,203,100
140,205,16,101,11,100,100,100,100,100,100,203,100
140,205,16,173,11,171,171,171,171,171,171,203,171
140,205,16,250,11,248,248,248,248,248,248,203,248
140,205,64,100,59,100,100,100,100,100,100,203,100
140,205,64,101,59,100,100,100,100,100,100,203,100
140,205,64,173,59,171,171,171,171,171,171,203,171
140,205,64,250,59,248,248,248,248,248,248,203,248
140,205,127,100,122,100,100,100,100,100,100,203,100
140,205,127,101,122,100,100,100,100,100,100,203,100
140,205,127,173,122,171,171,171,171,171,171,203,171
140,205,127,250,122,248,248,248,248,248,248,203,248
140,205,128,100,123,100,100,100,100,100,100,203,100
140,205,128,101,123,100,100,100,100,100,100,203,100
140,205,128,173,123,171,171,171,171,171,171,203,171
140,205,128,250,123,248,248,248,248,248,248,203,248
140,249,1,100,0,100,100,100,100,100,100,248,100
140,249,1,101,0,100,100,100,100,100,100,248,100
140,249,1,173,0,172,172,172,172,172,172,248,172
140,249,1,250,0,249,249,249,249,249,249,248,249
140,249,8,100,6,100,100,100,100,100,100,248,100
140,249,8,101,6,100,100,100,100,100,100,248,100
140,249,8,173,6,172,172,172,172,172,172,248,172
140,249,8,250,6,249,249,249,249,249,249,248,249
140,249,16,100,14,100,100,100,100,100,100,248,100
140,249,16,101,14,100,100,100,100,100,100,248,100
140,249,16,173,14,172,172,172,172,172,172,248,172
140,249,16,250,14,249,249,249,249,249,249,248,249
140,249,64,100,62,100,100,100,100,100,100,248,100
140,249,64,101,62,100,100,100,100,100,100,248,100
140,249,64,173,62,172,172,172,172,172,172,248,172
140,249,64,250,62,249,249,249,249,249,249,248,249
140,249,127,100,125,100,100,100,100,100,100,248,100
140,249,127,101,125,100,100,100,100,100,100,248,100
140,249,127,173,125,172,172,172,172,172,172,248,172
140,249,127,250,125,249,249,249,249,249,249,248,249
140,249,128,100,126,100,100,100,100,100,100,248,100
140,249,128,101,126,100,100,100,100,100,100,248,100
140,249,128,173,126,172,172,172,172,172,172,248,172
140,249,128,250,126,249,249,249,249,249,249,248,249
140,250,1,100,0,100,100,100,100,100,100,249,100
140,250,1,101,0,100,100,100,100,100,100,249,100
140,250,1,173,0,172,172,172,172,172,172,249,172
140,250,1,250,0,249,249,249,249,249,249,249,249
140,250,8,100,6,100,100,100,100,100,100,249,100
140,250,8,101,6,100,100,100,100,100,100,249,100
140,250,8,173,6,172,172,172,172,172,172,249,172
140,250,8,250,6,249,249,249,249,249,249,249,249
140,250,16,100,14,100,100,100,100,100,100,249,100
140,250,16,101,14,100,100,100,100,100,100,249,100
140,250,16,173,14,172,172,172,172,172,172,249,172
140,250,16,250,14,249,249,249,249,249,249,249,249
140,250,64,100,62,100,100,100,100,100,100,249,100
140,250,64,101,62,100,100,100,100,100,100,249,100
140,250,64,173,62,172,172,172,172,172,172,249,172
140,250,64,250,62,249,249,249,249,249,249,249,249
140,250,127,100,125,100,100,100,100,100,100,249,100
140,250,127,101,125,100,100,100,100,100,100,249,100
140,250,127,173,125,172,172,172,172,172,172,249,172
140,250,127,250,125,249,249,249,249,249,249,249,249
140,250,128,100,126,100,100,100,100,100,100,249,100
140,250,128,101,126,100,100,100,100,100,100,249,100
140,250,128,173,126,172,172,172,172,172,172,249,172
140,250,128,250,126,249,249,249,249,249,249,249,249
170,100,1,100,0,100,100,100,100,100,100,100,100
170,100,1,101,0,100,100,100,100,100,100,100,100
170,100,1,173,0,167,167,167,167,167,167,100,167
170,100,1,250,0,244,244,244,244,244,244,100,244
170,100,8,100,0,100,100,100,100,100,100,100,100
170,100,8,101,0,100,100,100,100,100,100,100,100
170,100,8,173,0,167,167,167,167,167,167,100,167
170,100,8,250,0,244,244,244,244,244,244,100,244
170,100,16,100,3,100,100,100,100,100,100,100,100
170,100,16,101,3,100,100,100,100,100,100,100,100
170,100,16,173,3,167,167,167,167,167,167,100,167
170,100,16,250,3,244,244,244,244,244,244,100,244
170,100,64,100,51,100,100,100,100,100,100,100,100
170,100,64,101,51,100,100,100,100,100,100,100,100
170,100,64,173,51,167,167,167,167,167,167,100,167
170,100,64,250,51,244,244,244,244,244,244,100,244
170,100,127,100,114,100,100,100,100,100,100,100,100
170,100,127,101,114,100,100,100,100,100,100,100,100
170,100,127,173,114,167,167,167,167,167,167,100,167
170,100,127,250,114,244,244,244,244,244,244,100,244
170,100,128,100,115,100,100,100,100,100,100,100,100
170,100,128,101,115,100,100,100,100,100,100,100,100
170,100,128,173,115,167,167,167,167,167,167,100,167
170,100,128,250,115,244,244,244,244,244,244,100,244
170,140,1,100,0,100,100,100,100,100,100,135,100
170,140,1,101,0,100,100,100,100,100,100,135,100
170,140,1,173,0,168,168,168,168,168,168,135,168
170,140,1,250,0,245,245,245,245,245,245,135,245
170,140,8,100,0,100,100,100,100,100,100,135,100
170,140,8,101,0,100,100,100,100,100,100,135,100
170,140,8,173,0,168,168,168,168,168,168,135,168
170,140,8,250,0,245,245,245,245,245,245,135,245
170,140,16,100,5,100,100,100,100,100,100,135,100
170,140,16,101,5,100,100,100,100,100,100,135,100
170,140,16,173,5,168,168,168,168,168,168,135,168
170,140,16,250,5,245,245,245,245,245,245,135,245
170,140,64,100,53,100,100,100,100,100,100,135,100
170,140,64,101,53,100,100,100,100,100,100,135,100
170,140,64,173,53,168,168,168,168,168,168,135,168
170,140,64,250,53,245,245,245,245,245,245,135,245
170,140,127,100,116,100,100,100,100,100,100,135,100
170,140,127,101,116,100,100,100,100,100,100,135,100
170,140,127,173,116,168,168,168,168,168,168,135,168
170,140,127,250,116,245,245,245,245,245,245,135,245
170,140,128,100,117,100,100,100,100,100,100,135,100
170,140,128,101,117,100,100,100,100,100,100,135,100
170,140,128,173,117,168,168,168,168,168,168,135,168
170,140,128,250,117,245,245,245,245,245,245,135,245
170,170,1,100,0,100,100,100,100,100,100,166,100
170,170,1,101,0,100,100,100,100,100,100,166,100
170,170,1,173,0,169,169,169,169,169,169,166,169
170,170,1,250,0,246,246,246,246,246,246,166,246
170,170,8,100,0,100,100,100,100,100,100,166,100
170,170,8,101,0,100,100,100,100,100,100,166,100
170,170,8,173,0,169,169,169,169,169,169,166,169
170,170,8,250,0,246,246,246,246,246,246,166,246
170,170,16,100,7,100,100,100,100,100,100,166,100
170,170,16,101,7,100,100,100,100,100,100,166,100
170,170,16,173,7,169,169,169,169,169,169,166,169
170,170,16,250,7,246,246,246,246,246,246,166,246
170,170,64,100,55,100,100,100,100,100,100,166,100
170,170,64,101,55,100,100,100,100,100,100,166,100
170,170,64,173,55,169,169,169,169,169,169,166,169
170,170,64,250,55,246,246,246,246,246,246,166,246
170,170,127,100,118,100,100,100,100,100,100,166,100
170,170,127,101,118,100,100,100,100,100,100,166,100
170,170,127,173,118,169,169,169,169,169,169,166,169
170,170,127,250,118,246,246,246,246,246,246,166,246
170,170,128,100,119,100,100,100,100,100,100,166,100
170,170,128,101,119,100,100,100,100,100,100,166,100
170,170,128,173,119,169,169,169,169,169,169,166,169
170,170,128,250,119,246,246,246,246,246,246,166,246
170,200,1,100,0,100,100,100,100,100,100,197,100
170,200,1,101,0,100,100,100,100,100,100,197,100
170,200,1,173,0,170,170,170,170,170,170,197,170
170,200,1,250,0,247,247,247,247,247,247,197,247
170,200,8,100,1,100,100,100,100,100,100,197,100
170,200,8,101,1,100,100,100,100,100,100,197,100
170,200,8,173,1,170,170,170,170,170,170,197,170
170,200,8,250,1,247,247,247,247,247,247,197,247
170,200,16,100,9,100,100,100,100,100,100,197,100
170,200,16,101,9,100,100,100,100,100,100,197,100
170,200,16,173,9,170,170,170,170,170,170,197,170
170,200,16,250,9,247,247,247,247,247,247,197,247
170,200,64,100,57,100,100,100,100,100,100,197,100
170,200,64,101,57,100,100,100,100,100,100,197,100
170,200,64,173,57,170,170,170,170,170,170,197,170
170,200,64,250,57,247,247,247,247,247,247,197,247
170,200,127,100,120,100,100,100,100,100,100,197,100
170,200,127,101,120,100,100,100,100,100,100,197,100
170,200,127,173,120,170,170,170,170,170,170,197,170
170,200,127,250,120,247,247,247,247,247,247,197,247
170,200,128,100,121,100,100,100,100,100,100,197,100
170,200,128,101,121,100,100,100,100,100,100,197,100
170,200,128,173,121,170,170,170,170,170,170,197,170
170,200,128,250,121,247,247,247,247,247,247,197,247
170,204,1,100,0,100,100,100,100,100,100,201,100
170,204,1,101,0,100,100,100,100,100,100,201,100
170,204,1,173,0,170,170,170,170,170,170,201,170
170,204,1,250,0,247,247,247,247,247,247,201,247
170,204,8,100,1,100,100,100,100,100,100,201,100
170,204,8,101,1,100,100,100,100,100,100,201,100
170,204,8,173,1,170,170,170,170,170,170,201,170
170,204,8,250,1,247,247,247,247,247,247,201,247
170,204,16,100,9,100,100,100,100,100,100,201,100
170,204,16,101,9,100,100,100,100,100,100,201,100
170,204,16,173,9,170,170,170,170,170,170,201,170
170,204,16,250,9,247,247,247,247,247,247,201,247
170,204,64,100,57,100,100,100,100,100,100,201,100
170,204,64,101,57,100,100,100,100,100,100,201,100
170,204,64,173,57,170,170,170,170,170,170,201,170
170,204,64,250,57,247,247,247,247,247,247,201,247
170,204,127,100,120,100,100,100,100,100,100,201,100
170,204,127,101,120,100,100,100,100,100,100,201,100
170,204,127,173,120,170,170,170,170,170,170,201,170
170,204,127,250,120,247,247,247,247,247,247,201,247
170,204,128,100,121,100,100,100,100,100,100,201,100
170,204,128,101,121,100,100,100,100,100,100,201,100
170,204,128,173,121,170,170,170,170,170,170,201,170
170,204,128,250,121,247,247,247,247,247,247,201,247
170,205,1,100,0,100,100,100,100,100,100,202,100
170,205,1,101,0,100,100,100,100,100,100,202,100
170,205,1,173,0,170,170,170,170,170,170,202,170
170,205,1,250,0,247,247,247,247,247,247,202,247
170,205,8,100,1,100,100,100,100,100,100,202,100
170,205,8,101,1,100,100,100,100,100,100,202,100
170,205,8,173,1,170,170,170,170,170,170,202,170
170,205,8,250,1,247,247,247,247,247,247,202,247
170,205,16,100,9,100,100,100,100,100,100,202,100
170,205,16,101,9,100,100,100,100,100,100,202,100
170,205,16,173,9,170,170,170,170,170,170,202,170
170,205,16,250,9,247,247,247,247,247,247,202,247
170,205,64,100,57,100,100,100,100,100,100,202,100
170,205,64,101,57,100,100,100,100,100,100,202,100
170,205,64,173,57,170,170,170,170,170,170,202,170
170,205,64,250,57,247,247,247,247,247,247,202,247
170,205,127,100,120,100,100,100,100,100,100,202,100
170,205,127,101,120,100,100,100,100,100,100,202,100
170,205,127,173,120,170,170,170,170,170,170,202,170
170,205,127,250,120,247,247,247,247,247,247,202,247
170,205,128,100,121,100,100,100,100,100,100,202,100
170,205,128,101,121,100,100,100,100,100,100,202,100
170,205,128,173,121,170,170,170,170,170,170,202,170
170,205,128,250,121,247,247,247,247,247,247,202,247
170,249,1,100,0,100,100,100,100,100,100,247,100
170,249,1,101,0,100,100,100,100,100,100,247,100
170,249,1,173,0,171,171,171,171,171,171,247,171
170,249,1,250,0,248,248,248,248,248,248,247,248
170,249,8,100,4,100,100,100,100,100,100,247,100
170,249,8,101,4,100,100,100,100,100,100,247,100
170,249,8,173,4,171,171,171,171,171,171,247,171
