dx,dz,distance,instructions
3,44,45,18
3,45,46,18
3,46,47,18
3,47,48,18
3,48,49,18
3,49,50,18
3,50,51,18
3,51,52,18
3,52,53,18
3,53,54,18
3,54,55,18
3,55,56,18
3,56,57,18
3,57,58,18
3,58,59,18
3,59,60,18
3,60,61,18
3,61,62,18
3,62,63,18
3,63,64,18
3,64,65,18
3,96,97,18
3,100,101,18
3,127,128,18
3,128,129,18
3,160,161,18
3,192,193,18
3,255,256,18
3,256,257,18
3,320,321,18
3,512,513,18
3,576,577,18
3,640,641,18
3,1024,1025,18
3,1120,1121,18
3,1152,1153,18
4,0,4,17
4,1,4,17
4,2,5,14
4,3,5,12
4,4,6,12
4,5,7,13
4,6,7,15
4,7,8,15
4,8,9,15
4,9,10,15
4,10,11,15
4,11,12,15
4,12,13,15
4,13,14,15
4,14,15,18
4,15,16,18
4,16,17,18
4,17,18,18
4,18,19,18
4,19,20,18
4,20,21,18
4,21,22,18
4,22,23,18
4,23,24,18
4,24,25,18
4,25,26,18
4,26,27,18
4,27,28,18
4,28,29,18
4,29,30,18
4,30,31,18
4,31,32,18
4,32,33,18
4,33,34,18
4,34,35,18
4,35,36,18
4,36,37,18
4,37,38,18
4,38,39,18
4,39,40,18
4,40,41,18
4,41,42,18
4,42,43,18
4,43,44,18
4,44,45,18
4,45,46,18
4,46,47,18
4,47,48,18
4,48,49,18
4,49,50,18
4,50,51,18
4,51,52,18
4,52,53,18
4,53,54,18
4,54,55,18
4,55,56,18
4,56,57,18
4,57,58,18
4,58,59,18
4,59,60,18
4,60,61,18
4,61,62,18
4,62,63,18
4,63,64,18
4,64,65,18
4,96,97,18
4,100,101,18
4,127,128,18
4,128,129,18
4,160,161,18
4,192,193,18
4,255,256,18
4,256,257,18
4,320,321,18
4,512,513,18
4,576,577,18
4,640,641,18
4,1024,1025,18
4,1120,1121,18
4,1152,1153,18
5,0,5,17
5,1,5,17
5,2,6,14
5,3,6,14
5,4,7,12
5,5,7,12
5,6,8,13
5,7,9,13
5,8,9,15
5,9,10,15
5,10,11,15
5,11,12,15
5,12,13,15
5,13,14,15
5,14,15,15
5,15,16,15
5,16,17,15
5,17,18,15
5,18,19,18
5,19,20,18
5,20,21,18
5,21,22,18
5,22,23,18
5,23,24,18
5,24,25,18
5,25,26,18
5,26,27,18
5,27,28,18
5,28,29,18
5,29,30,18
5,30,31,18
5,31,32,18
5,32,33,18
5,33,34,18
5,34,35,18
5,35,36,18
5,36,37,18
5,37,38,18
5,38,39,18
5,39,40,18
5,40,41,18
5,41,42,18
5,42,43,18
5,43,44,18
5,44,45,18
5,45,46,18
5,46,47,18
5,47,48,18
5,48,49,18
5,49,50,18
5,50,51,18
5,51,52,18
5,52,53,18
5,53,54,18
5,54,55,18
5,55,56,18
5,56,57,18
5,57,58,18
5,58,59,18
5,59,60,18
5,60,61,18
5,61,62,18
5,62,63,18
5,63,64,18
5,64,65,18
5,96,97,18
5,100,101,18
5,127,128,18
5,128,129,18
5,160,161,18
5,192,193,18
5,255,256,18
5,256,257,18
5,320,321,18
5,512,513,18
5,576,577,18
5,640,641,18
5,1024,1025,18
5,1120,1121,18
5,1152,1153,18
6,0,6,17
6,1,6,17
6,2,7,14
6,3,7,14
6,4,7,14
6,5,8,12
6,6,9,12
6,7,10,13
6,8,11,13
6,9,11,15
6,10,12,15
6,11,13,15
6,12,14,15
6,13,15,15
6,14,16,15
6,15,17,15
6,16,18,15
6,17,19,15
6,18,20,15
6,19,21,15
6,20,22,15
6,21,23,18
6,22,24,18
6,23,25,18
6,24,26,18
6,25,27,18
6,26,28,18
6,27,29,18
6,28,30,18
6,29,31,18
6,30,32,18
6,31,33,18
6,32,34,18
6,33,35,18
6,34,36,18
6,35,37,18
6,36,38,18
6,37,39,18
6,38,40,18
6,39,41,18
6,40,42,18
6,41,43,18
6,42,44,18
6,43,45,18
6,44,46,18
6,45,47,18
6,46,48,18
6,47,49,18
6,48,50,18
6,49,51,18
6,50,52,18
6,51,53,18
6,52,54,18
6,53,55,18
6,54,56,18
6,55,57,18
6,56,58,18
6,57,59,18
6,58,60,18
6,59,61,18
6,60,62,18
6,61,63,18
6,62,64,18
6,63,65,18
6,64,66,18
6,96,98,18
6,100,102,18
6,127,129,18
6,128,130,18
6,160,162,18
6,192,194,18
6,255,257,18
6,256,258,18
6,320,322,18
6,512,514,18
6,576,578,18
6,640,642,18
6,1024,1026,18
6,1120,1122,18
6,1152,1154,18
7,0,7,17
7,1,7,17
7,2,8,17
7,3,8,14
7,4,8,14
7,5,9,12
7,6,10,12
7,7,10,12
7,8,11,13
7,9,12,13
7,10,13,13
7,11,13,15
7,12,14,15
7,13,15,15
7,14,16,15
7,15,17,15
7,16,18,15
7,17,19,15
7,18,20,15
7,19,21,15
7,20,22,15
7,21,23,15
7,22,24,15
7,23,25,15
7,24,26,15
7,25,27,18
7,26,28,18
7,27,29,18
7,28,30,18
7,29,31,18
7,30,32,18
7,31,33,18
7,32,34,18
7,33,35,18
7,34,36,18
7,35,37,18
7,36,38,18
7,37,39,18
7,38,40,18
7,39,41,18
7,40,42,18
7,41,43,18
7,42,44,18
7,43,45,18
7,44,46,18
7,45,47,18
7,46,48,18
7,47,49,18
7,48,50,18
7,49,51,18
7,50,52,18
7,51,53,18
7,52,54,18
7,53,55,18
7,54,56,18
7,55,57,18
7,56,58,18
7,57,59,18
7,58,60,18
7,59,61,18
7,60,62,18
7,61,63,18
7,62,64,18
7,63,65,18
7,64,66,18
7,96,98,18
7,100,102,18
7,127,129,18
7,128,130,18
7,160,162,18
7,192,194,18
7,255,257,18
7,256,258,18
7,320,322,18
7,512,514,18
7,576,578,18
7,640,642,18
7,1024,1026,18
7,1120,1122,18
7,1152,1154,18
8,0,8,17
8,1,8,17
8,2,9,17
8,3,9,14
8,4,9,14
8,5,9,14
8,6,11,12
8,7,11,12
8,8,11,12
8,9,12,13
8,10,13,13
8,11,14,13
8,12,14,15
8,13,15,15
8,14,16,15
8,15,17,15
8,16,18,15
8,17,19,15
8,18,20,15
8,19,21,15
8,20,22,15
8,21,23,15
8,22,24,15
8,23,25,15
8,24,26,15
8,25,27,15
8,26,28,15
8,27,29,15
8,28,29,18
8,29,30,18
8,30,31,18
8,31,32,18
8,32,33,18
8,33,34,18
8,34,35,18
8,35,36,18
8,36,37,18
8,37,38,18
8,38,39,18
8,39,40,18
8,40,41,18
8,41,42,18
8,42,43,18
8,43,44,18
8,44,45,18
8,45,46,18
8,46,47,18
8,47,48,18
8,48,49,18
8,49,50,18
8,50,51,18
8,51,52,18
8,52,53,18
8,53,54,18
8,54,55,18
8,55,56,18
8,56,57,18
8,57,58,18
8,58,59,18
8,59,60,18
8,60,61,18
8,61,62,18
8,62,63,18
8,63,64,18
8,64,65,18
8,96,97,18
8,100,101,18
8,127,128,18
8,128,129,18
8,160,161,18
8,192,193,18
8,255,256,18
8,256,257,18
8,320,321,18
8,512,513,18
8,576,577,18
8,640,641,18
8,1024,1025,18
8,1120,1121,18
8,1152,1153,18
9,0,9,17
9,1,9,17
9,2,10,17
9,3,10,14
9,4,10,14
9,5,10,14
9,6,11,14
9,7,12,12
9,8,12,12
9,9,12,12
9,10,13,13
9,11,14,13
9,12,15,13
9,13,16,13
9,14,16,15
9,15,17,15
9,16,18,15
9,17,19,15
9,18,20,15
9,19,21,15
9,20,22,15
9,21,23,15
9,22,24,15
9,23,25,15
9,24,26,15
9,25,27,15
9,26,28,15
9,27,29,15
9,28,30,15
9,29,31,15
9,30,32,15
9,31,33,15
9,32,33,18
9,33,34,18
9,34,35,18
9,35,36,18
9,36,37,18
9,37,38,18
9,38,39,18
9,39,40,18
9,40,41,18
9,41,42,18
9,42,43,18
9,43,44,18
9,44,45,18
9,45,46,18
9,46,47,18
9,47,48,18
9,48,49,18
9,49,50,18
9,50,51,18
9,51,52,18
9,52,53,18
9,53,54,18
9,54,55,18
9,55,56,18
9,56,57,18
9,57,58,18
9,58,59,18
9,59,60,18
9,60,61,18
9,61,62,18
9,62,63,18
9,63,64,18
9,64,65,18
9,96,97,18
9,100,101,18
9,127,128,18
9,128,129,18
9,160,161,18
9,192,193,18
9,255,256,18
9,256,257,18
9,320,321,18
9,512,513,18
9,576,577,18
9,640,641,18
9,1024,1025,18
9,1120,1121,18
9,1152,1153,18
10,0,10,17
10,1,10,17
10,2,11,17
10,3,11,14
10,4,11,14
10,5,11,14
10,6,12,14
10,7,13,12
10,8,13,12
10,9,13,12
10,10,14,12
10,11,15,13
10,12,16,13
10,13,17,13
10,14,18,13
10,15,18,15
10,16,19,15
10,17,20,15
10,18,21,15
10,19,22,15
10,20,23,15
10,21,24,15
10,22,25,15
10,23,26,15
10,24,27,15
10,25,28,15
10,26,29,15
10,27,30,15
10,28,31,15
10,29,32,15
10,30,33,15
10,31,34,15
10,32,35,15
10,33,36,15
10,34,37,15
10,35,37,18
10,36,38,18
10,37,39,18
10,38,40,18
10,39,41,18
10,40,42,18
10,41,43,18
10,42,44,18
10,43,45,18
10,44,46,18
10,45,47,18
10,46,48,18
10,47,49,18
10,48,50,18
10,49,51,18
10,50,52,18
10,51,53,18
10,52,54,18
10,53,55,18
10,54,56,18
10,55,57,18
10,56,58,18
10,57,59,18
10,58,60,18
10,59,61,18
10,60,62,18
10,61,63,18
10,62,64,18
10,63,65,18
10,64,66,18
10,96,98,18
10,100,102,18
10,127,129,18
10,128,130,18
10,160,162,18
10,192,194,18
10,255,257,18
10,256,258,18
10,320,322,18
10,512,514,18
10,576,578,18
10,640,642,18
10,1024,1026,18
10,1120,1122,18
10,1152,1154,18
11,0,11,17
11,1,11,17
11,2,12,17
11,3,12,17
11,4,12,14
11,5,12,14
11,6,13,14
11,7,13,14
11,8,14,12
11,9,14,12
11,10,15,12
11,11,15,12
11,12,16,13
11,13,17,13
11,14,18,13
11,15,19,13
11,16,20,13
11,17,20,15
11,18,21,15
11,19,22,15
11,20,23,15
11,21,24,15
11,22,25,15
11,23,26,15
11,24,27,15
11,25,28,15
11,26,29,15
11,27,30,15
11,28,31,15
11,29,32,15
11,30,33,15
11,31,34,15
11,32,35,15
11,33,36,15
11,34,37,15
11,35,38,15
11,36,39,15
11,37,40,15
11,38,41,15
11,39,41,18
11,40,42,18
11,41,43,18
11,42,44,18
11,43,45,18
11,44,46,18
11,45,47,18
11,46,48,18
11,47,49,18
11,48,50,18
11,49,51,18
11,50,52,18
11,51,53,18
11,52,54,18
11,53,55,18
11,54,56,18
11,55,57,18
11,56,58,18
11,57,59,18
11,58,60,18
11,59,61,18
11,60,62,18
11,61,63,18
11,62,64,18
11,63,65,18
11,64,66,18
11,96,98,18
11,100,102,18
11,127,129,18
11,128,130,18
11,160,162,18
11,192,194,18
11,255,257,18
11,256,258,18
11,320,322,18
11,512,514,18
11,576,578,18
11,640,642,18
11,1024,1026,18
11,1120,1122,18
11,1152,1154,18
12,0,12,17
12,1,12,17
12,2,13,17
12,3,13,17
12,4,13,14
12,5,13,14
12,6,14,14
12,7,14,14
12,8,14,14
12,9,15,12
12,10,16,12
12,11,16,12
12,12,17,12
12,13,18,13
12,14,19,13
12,15,20,13
12,16,21,13
12,17,22,13
12,18,21,15
12,19,22,15
12,20,23,15
12,21,24,15
12,22,25,15
12,23,26,15
12,24,27,15
12,25,28,15
12,26,29,15
12,27,30,15
12,28,31,15
12,29,32,15
12,30,33,15
12,31,34,15
12,32,35,15
12,33,36,15
12,34,37,15
12,35,38,15
12,36,39,15
12,37,40,15
12,38,41,15
12,39,42,15
12,40,43,15
12,41,44,15
12,42,44,18
12,43,45,18
12,44,46,18
12,45,47,18
12,46,48,18
12,47,49,18
12,48,50,18
12,49,51,18
12,50,52,18
12,51,53,18
12,52,54,18
12,53,55,18
12,54,56,18
12,55,57,18
12,56,58,18
12,57,59,18
12,58,60,18
12,59,61,18
12,60,62,18
12,61,63,18
12,62,64,18
12,63,65,18
12,64,66,18
12,96,98,18
12,100,102,18
12,127,129,18
12,128,130,18
12,160,162,18
12,192,194,18
12,255,257,18
12,256,258,18
12,320,322,18
12,512,514,18
12,576,578,18
12,640,642,18
12,1024,1026,18
12,1120,1122,18
12,1152,1154,18
13,0,13,17
13,1,13,17
13,2,14,17
13,3,14,17
13,4,14,14
13,5,14,14
13,6,15,14
13,7,15,14
13,8,15,14
13,9,16,12
13,10,17,12
13,11,17,12
13,12,18,12
13,13,18,12
13,14,19,13
13,15,20,13
13,16,21,13
13,17,22,13
13,18,23,13
13,19,24,13
13,20,23,15
13,21,24,15
13,22,25,15
13,23,26,15
13,24,27,15
13,25,28,15
13,26,29,15
13,27,30,15
13,28,31,15
13,29,32,15
13,30,33,15
13,31,34,15
13,32,35,15
13,33,36,15
13,34,37,15
13,35,38,15
13,36,39,15
13,37,40,15
13,38,41,15
13,39,42,15
13,40,43,15
13,41,44,15
13,42,45,15
13,43,46,15
13,44,47,15
13,45,48,15
13,46,48,18
13,47,49,18
13,48,50,18
13,49,51,18
13,50,52,18
13,51,53,18
13,52,54,18
13,53,55,18
13,54,56,18
13,55,57,18
13,56,58,18
13,57,59,18
13,58,60,18
13,59,61,18
13,60,62,18
13,61,63,18
13,62,64,18
13,63,65,18
13,64,66,18
13,96,98,18
13,100,102,18
13,127,129,18
13,128,130,18
13,160,162,18
13,192,194,18
13,255,257,18
13,256,258,18
13,320,322,18
13,512,514,18
13,576,578,18
13,640,642,18
13,1024,1026,18
13,1120,1122,18
13,1152,1154,18
14,0,14,17
14,1,14,17
14,2,15,17
14,3,15,17
14,4,15,17
14,5,15,14
14,6,16,14
14,7,16,14
14,8,16,14
14,9,16,14
14,10,18,12
14,11,18,12
14,12,19,12
14,13,19,12
14,14,20,12
14,15,21,13
14,16,22,13
14,17,23,13
14,18,24,13
14,19,25,13
14,20,26,13
14,21,25,15
14,22,26,15
14,23,27,15
14,24,28,15
14,25,29,15
14,26,30,15
14,27,31,15
14,28,32,15
14,29,33,15
14,30,34,15
14,31,35,15
14,32,36,15
14,33,37,15
14,34,38,15
14,35,39,15
14,36,40,15
14,37,41,15
14,38,42,15
14,39,43,15
14,40,44,15
14,41,45,15
14,42,46,15
14,43,47,15
14,44,48,15
14,45,49,15
14,46,50,15
14,47,51,15
14,48,52,15
14,49,52,18
14,50,53,18
14,51,54,18
14,52,55,18
14,53,56,18
14,54,57,18
14,55,58,18
14,56,59,18
14,57,60,18
14,58,61,18
14,59,62,18
14,60,63,18
14,61,64,18
14,62,65,18
14,63,66,18
14,64,67,18
14,96,99,18
14,100,103,18
14,127,130,18
14,128,131,18
14,160,163,18
14,192,195,18
14,255,258,18
14,256,259,18
14,320,323,18
14,512,515,18
14,576,579,18
14,640,643,18
14,1024,1027,18
14,1120,1123,18
14,1152,1155,18
15,0,15,17
15,1,15,17
15,2,16,17
15,3,16,17
15,4,16,17
15,5,16,14
15,6,17,14
15,7,17,14
15,8,17,14
15,9,17,14
15,10,18,14
15,11,19,12
15,12,20,12
15,13,20,12
15,14,21,12
15,15,21,12
15,16,22,13
15,17,23,13
15,18,24,13
15,19,25,13
15,20,26,13
15,21,27,13
15,22,28,13
15,23,27,15
15,24,28,15
15,25,29,15
15,26,30,15
15,27,31,15
15,28,32,15
15,29,33,15
15,30,34,15
15,31,35,15
15,32,36,15
15,33,37,15
15,34,38,15
15,35,39,15
15,36,40,15
15,37,41,15
15,38,42,15
15,39,43,15
15,40,44,15
15,41,45,15
15,42,46,15
15,43,47,15
15,44,48,15
15,45,49,15
15,46,50,15
15,47,51,15
15,48,52,15
15,49,53,15
15,50,54,15
15,51,55,15
15,52,56,15
15,53,56,18
15,54,57,18
15,55,58,18
15,56,59,18
15,57,60,18
15,58,61,18
15,59,62,18
15,60,63,18
15,61,64,18
15,62,65,18
15,63,66,18
15,64,67,18
15,96,99,18
15,100,103,18
15,127,130,18
15,128,131,18
15,160,163,18
15,192,195,18
15,255,258,18
15,256,259,18
15,320,323,18
15,512,515,18
15,576,579,18
15,640,643,18
15,1024,1027,18
15,1120,1123,18
15,1152,1155,18
16,0,16,17
16,1,16,17
16,2,17,17
16,3,17,17
16,4,17,17
16,5,17,14
16,6,18,14
16,7,18,14
16,8,18,14
16,9,18,14
16,10,19,14
16,11,20,12
16,12,21,12
16,13,21,12
16,14,22,12
16,15,22,12
16,16,22,12
16,17,23,13
16,18,24,13
16,19,25,13
16,20,26,13
16,21,27,13
16,22,28,13
16,23,29,13
16,24,28,15
16,25,29,15
16,26,30,15
16,27,31,15
16,28,32,15
16,29,33,15
16,30,34,15
16,31,35,15
16,32,36,15
16,33,37,15
16,34,38,15
16,35,39,15
16,36,40,15
16,37,41,15
16,38,42,15
16,39,43,15
16,40,44,15
16,41,45,15
16,42,46,15
16,43,47,15
16,44,48,15
16,45,49,15
16,46,50,15
16,47,51,15
16,48,52,15
16,49,53,15
16,50,54,15
16,51,55,15
16,52,56,15
16,53,57,15
16,54,58,15
16,55,59,15
16,56,58,18
16,57,59,18
16,58,60,18
16,59,61,18
16,60,62,18
16,61,63,18
16,62,64,18
16,63,65,18
16,64,66,18
16,96,98,18
16,100,102,18
16,127,129,18
16,128,130,18
16,160,162,18
16,192,194,18
16,255,257,18
16,256,258,18
16,320,322,18
16,512,514,18
16,576,578,18
16,640,642,18
16,1024,1026,18
16,1120,1122,18
16,1152,1154,18
17,0,17,17
17,1,17,17
17,2,18,17
17,3,18,17
17,4,18,17
17,5,18,14
17,6,19,14
17,7,19,14
17,8,19,14
17,9,19,14
17,10,20,14
17,11,20,14
17,12,22,12
17,13,22,12
17,14,23,12
17,15,23,12
17,16,23,12
17,17,23,12
17,18,24,13
17,19,25,13
17,20,26,13
17,21,27,13
17,22,28,13
17,23,29,13
17,24,30,13
17,25,31,13
17,26,30,15
17,27,31,15
17,28,32,15
17,29,33,15
17,30,34,15
17,31,35,15
17,32,36,15
17,33,37,15
17,34,38,15
17,35,39,15
17,36,40,15
17,37,41,15
17,38,42,15
17,39,43,15
17,40,44,15
17,41,45,15
17,42,46,15
17,43,47,15
17,44,48,15
17,45,49,15
17,46,50,15
17,47,51,15
17,48,52,15
17,49,53,15
17,50,54,15
17,51,55,15
17,52,56,15
17,53,57,15
17,54,58,15
17,55,59,15
17,56,60,15
17,57,61,15
17,58,62,15
17,59,63,15
17,60,62,18
17,61,63,18
17,62,64,18
17,63,65,18
17,64,66,18
17,96,98,18
17,100,102,18
17,127,129,18
17,128,130,18
17,160,162,18
17,192,194,18
17,255,257,18
17,256,258,18
17,320,322,18
17,512,514,18
17,576,578,18
17,640,642,18
17,1024,1026,18
17,1120,1122,18
17,1152,1154,18
18,0,18,17
18,1,18,17
18,2,19,17
18,3,19,17
18,4,19,17
18,5,19,17
18,6,20,14
18,7,20,14
18,8,20,14
18,9,20,14
18,10,21,14
18,11,21,14
18,12,21,14
18,13,23,12
18,14,24,12
18,15,24,12
18,16,24,12
18,17,24,12
18,18,25,12
18,19,26,13
18,20,27,13
18,21,28,13
18,22,29,13
18,23,30,13
18,24,31,13
18,25,32,13
18,26,33,13
18,27,32,15
18,28,33,15
18,29,34,15
18,30,35,15
18,31,36,15
18,32,37,15
18,33,38,15
18,34,39,15
18,35,40,15
18,36,41,15
18,37,42,15
18,38,43,15
18,39,44,15
18,40,45,15
18,41,46,15
18,42,47,15
18,43,48,15
18,44,49,15
18,45,50,15
18,46,51,15
18,47,52,15
18,48,53,15
18,49,54,15
18,50,55,15
18,51,56,15
18,52,57,15
18,53,58,15
18,54,59,15
18,55,60,15
18,56,61,15
18,57,62,15
18,58,63,15
18,59,64,15
18,60,65,15
18,61,66,15
18,62,67,15
18,63,66,18
18,64,67,18
18,96,99,18
18,100,103,18
18,127,130,18
18,128,131,18
18,160,163,18
18,192,195,18
18,255,258,18
18,256,259,18
18,320,323,18
18,512,515,18
18,576,579,18
18,640,643,18
18,1024,1027,18
18,1120,1123,18
18,1152,1155,18
19,0,19,17
19,1,19,17
19,2,20,17
19,3,20,17
19,4,20,17
19,5,20,17
19,6,21,14
19,7,21,14
19,8,21,14
19,9,21,14
19,10,22,14
19,11,22,14
19,12,22,14
19,13,24,12
19,14,25,12
19,15,25,12
19,16,25,12
19,17,25,12
19,18,26,12
19,19,26,12
19,20,27,13
19,21,28,13
19,22,29,13
19,23,30,13
19,24,31,13
19,25,32,13
19,26,33,13
19,27,34,13
19,28,35,13
19,29,34,15
19,30,35,15
19,31,36,15
19,32,37,15
19,33,38,15
19,34,39,15
19,35,40,15
19,36,41,15
19,37,42,15
19,38,43,15
19,39,44,15
19,40,45,15
19,41,46,15
19,42,47,15
19,43,48,15
19,44,49,15
19,45,50,15
19,46,51,15
19,47,52,15
19,48,53,15
19,49,54,15
19,50,55,15
19,51,56,15
19,52,57,15
19,53,58,15
19,54,59,15
19,55,60,15
19,56,61,15
19,57,62,15
19,58,63,15
19,59,64,15
19,60,65,15
19,61,66,15
19,62,67,15
19,63,68,15
19,64,69,15
19,96,99,18
19,100,103,18
19,127,130,18
19,128,131,18
19,160,163,18
19,192,195,18
19,255,258,18
19,256,259,18
19,320,323,18
19,512,515,18
19,576,579,18
19,640,643,18
19,1024,1027,18
19,1120,1123,18
19,1152,1155,18
20,0,20,17
20,1,20,17
20,2,21,17
20,3,21,17
20,4,21,17
20,5,21,17
20,6,22,14
20,7,22,14
20,8,22,14
20,9,22,14
20,10,23,14
20,11,23,14
20,12,23,14
20,13,23,14
20,14,26,12
20,15,26,12
20,16,26,12
20,17,26,12
20,18,27,12
20,19,27,12
20,20,28,12
20,21,29,13
20,22,30,13
20,23,31,13
20,24,32,13
20,25,33,13
20,26,34,13
20,27,35,13
20,28,36,13
20,29,37,13
20,30,35,15
20,31,36,15
20,32,37,15
20,33,38,15
20,34,39,15
20,35,40,15
20,36,41,15
20,37,42,15
20,38,43,15
20,39,44,15
20,40,45,15
20,41,46,15
20,42,47,15
20,43,48,15
20,44,49,15
20,45,50,15
20,46,51,15
20,47,52,15
20,48,53,15
20,49,54,15
20,50,55,15
20,51,56,15
20,52,57,15
20,53,58,15
20,54,59,15
20,55,60,15
20,56,61,15
20,57,62,15
20,58,63,15
20,59,64,15
20,60,65,15
20,61,66,15
20,62,67,15
20,63,68,15
20,64,69,15
20,96,99,18
20,100,103,18
20,127,130,18
20,128,131,18
20,160,163,18
20,192,195,18
20,255,258,18
20,256,259,18
20,320,323,18
20,512,515,18
20,576,579,18
20,640,643,18
20,1024,1027,18
20,1120,1123,18
20,1152,1155,18
21,0,21,17
21,1,21,17
21,2,22,17
21,3,22,17
21,4,22,17
21,5,22,17
21,6,23,17
21,7,23,14
21,8,23,14
21,9,23,14
21,10,24,14
21,11,24,14
21,12,24,14
21,13,24,14
21,14,25,14
21,15,27,12
21,16,27,12
21,17,27,12
21,18,28,12
21,19,28,12
21,20,29,12
21,21,29,12
21,22,30,13
21,23,31,13
21,24,32,13
21,25,33,13
21,26,34,13
21,27,35,13
21,28,36,13
21,29,37,13
21,30,38,13
21,31,39,13
21,32,37,15
21,33,38,15
21,34,39,15
21,35,40,15
21,36,41,15
21,37,42,15
21,38,43,15
21,39,44,15
21,40,45,15
21,41,46,15
21,42,47,15
21,43,48,15
21,44,49,15
21,45,50,15
21,46,51,15
21,47,52,15
21,48,53,15
21,49,54,15
21,50,55,15
