sprite,dx,dz,origin,distance
2,-16,-64,0,66
2,-16,-32,0,36
2,-16,-16,0,22
2,-16,-1,0,16
2,-16,0,0,16
2,-16,1,0,16
2,-16,16,0,22
2,-16,32,0,36
2,-16,64,0,66
2,-1,-64,0,64
2,-1,-32,0,32
2,-1,-16,0,16
2,-1,-1,0,1
2,-1,0,0,1
2,-1,1,0,1
2,-1,16,0,16
2,-1,32,0,32
2,-1,64,0,64
2,0,-64,0,64
2,0,-32,0,32
2,0,-16,0,16
2,0,-1,0,1
2,0,0,0,0
2,0,1,0,1
2,0,16,0,16
2,0,32,0,32
2,0,64,0,64
2,1,-64,0,64
2,1,-32,0,32
2,1,-16,0,16
2,1,-1,0,1
2,1,0,0,1
2,1,1,0,1
2,1,16,0,16
2,1,32,0,32
2,1,64,0,64
2,16,-64,0,66
2,16,-32,0,36
2,16,-16,0,22
2,16,-1,0,16
2,16,0,0,16
2,16,1,0,16
2,16,16,0,22
2,16,32,0,36
2,16,64,0,66
2,32,-64,0,72
2,32,-32,0,44
2,32,-16,0,36
2,32,-1,0,32
2,32,0,0,32
2,32,1,0,32
2,32,16,0,36
2,32,32,0,44
2,32,64,0,72
2,64,-64,0,88
2,64,-32,0,72
2,64,-16,0,66
2,64,-1,0,64
2,64,0,0,64
2,64,1,0,64
2,64,16,0,66
2,64,32,0,72
2,64,64,0,88
3,-64,-64,0,88
3,-64,-32,0,72
3,-64,-16,0,66
3,-64,-1,0,64
3,-64,0,0,64
3,-64,1,0,64
3,-64,16,0,66
3,-64,32,0,72
3,-64,64,0,88
3,-32,-64,0,72
3,-32,-32,0,44
3,-32,-16,0,36
3,-32,-1,0,32
3,-32,0,0,32
3,-32,1,0,32
3,-32,16,0,36
3,-32,32,0,44
3,-32,64,0,72
3,-16,-64,0,66
3,-16,-32,0,36
3,-16,-16,0,22
3,-16,-1,0,16
3,-16,0,0,16
3,-16,1,0,16
3,-16,16,0,22
3,-16,32,0,36
3,-16,64,0,66
3,-1,-64,0,64
3,-1,-32,0,32
3,-1,-16,0,16
3,-1,-1,0,1
3,-1,0,0,1
3,-1,1,0,1
3,-1,16,0,16
3,-1,32,0,32
3,-1,64,0,64
3,0,-64,0,64
3,0,-32,0,32
3,0,-16,0,16
3,0,-1,0,1
3,0,0,0,0
3,0,1,0,1
3,0,16,0,16
3,0,32,0,32
3,0,64,0,64
3,1,-64,0,64
3,1,-32,0,32
3,1,-16,0,16
3,1,-1,0,1
3,1,0,0,1
3,1,1,0,1
3,1,16,0,16
3,1,32,0,32
3,1,64,0,64
3,16,-64,0,66
3,16,-32,0,36
3,16,-16,0,22
3,16,-1,0,16
3,16,0,0,16
3,16,1,0,16
3,16,16,0,22
3,16,32,0,36
3,16,64,0,66
3,32,-64,0,72
3,32,-32,0,44
3,32,-16,0,36
3,32,-1,0,32
3,32,0,0,32
3,32,1,0,32
3,32,16,0,36
3,32,32,0,44
3,32,64,0,72
3,64,-64,0,88
3,64,-32,0,72
3,64,-16,0,66
3,64,-1,0,64
3,64,0,0,64
3,64,1,0,64
3,64,16,0,66
3,64,32,0,72
3,64,64,0,88
4,-64,-64,0,88
4,-64,-32,0,72
4,-64,-16,0,66
4,-64,-1,0,64
4,-64,0,0,64
4,-64,1,0,64
4,-64,16,0,66
4,-64,32,0,72
4,-64,64,0,88
4,-32,-64,0,72
4,-32,-32,0,44
4,-32,-16,0,36
4,-32,-1,0,32
4,-32,0,0,32
4,-32,1,0,32
4,-32,16,0,36
4,-32,32,0,44
4,-32,64,0,72
4,-16,-64,0,66
4,-16,-32,0,36
4,-16,-16,0,22
4,-16,-1,0,16
4,-16,0,0,16
4,-16,1,0,16
4,-16,16,0,22
4,-16,32,0,36
4,-16,64,0,66
4,-1,-64,0,64
4,-1,-32,0,32
4,-1,-16,0,16
4,-1,-1,0,1
4,-1,0,0,1
4,-1,1,0,1
4,-1,16,0,16
4,-1,32,0,32
4,-1,64,0,64
4,0,-64,0,64
4,0,-32,0,32
4,0,-16,0,16
4,0,-1,0,1
4,0,0,0,0
4,0,1,0,1
4,0,16,0,16
4,0,32,0,32
4,0,64,0,64
4,1,-64,0,64
4,1,-32,0,32
4,1,-16,0,16
4,1,-1,0,1
4,1,0,0,1
4,1,1,0,1
4,1,16,0,16
4,1,32,0,32
4,1,64,0,64
4,16,-64,0,66
4,16,-32,0,36
4,16,-16,0,22
4,16,-1,0,16
4,16,0,0,16
4,16,1,0,16
4,16,16,0,22
4,16,32,0,36
4,16,64,0,66
4,32,-64,0,72
4,32,-32,0,44
4,32,-16,0,36
4,32,-1,0,32
4,32,0,0,32
4,32,1,0,32
4,32,16,0,36
4,32,32,0,44
4,32,64,0,72
4,64,-64,0,88
4,64,-32,0,72
4,64,-16,0,66
4,64,-1,0,64
4,64,0,0,64
4,64,1,0,64
4,64,16,0,66
4,64,32,0,72
4,64,64,0,88
5,-64,-64,0,88
5,-64,-32,0,72
5,-64,-16,0,66
5,-64,-1,0,64
5,-64,0,0,64
5,-64,1,0,64
5,-64,16,0,66
5,-64,32,0,72
5,-64,64,0,88
5,-32,-64,0,72
5,-32,-32,0,44
5,-32,-16,0,36
5,-32,-1,0,32
5,-32,0,0,32
5,-32,1,0,32
5,-32,16,0,36
5,-32,32,0,44
5,-32,64,0,72
5,-16,-64,0,66
5,-16,-32,0,36
5,-16,-16,0,22
5,-16,-1,0,16
5,-16,0,0,16
5,-16,1,0,16
5,-16,16,0,22
5,-16,32,0,36
5,-16,64,0,66
5,-1,-64,0,64
5,-1,-32,0,32
5,-1,-16,0,16
5,-1,-1,0,1
5,-1,0,0,1
5,-1,1,0,1
5,-1,16,0,16
5,-1,32,0,32
5,-1,64,0,64
5,0,-64,0,64
5,0,-32,0,32
5,0,-16,0,16
5,0,-1,0,1
5,0,0,0,0
5,0,1,0,1
5,0,16,0,16
5,0,32,0,32
5,0,64,0,64
5,1,-64,0,64
5,1,-32,0,32
5,1,-16,0,16
5,1,-1,0,1
5,1,0,0,1
5,1,1,0,1
5,1,16,0,16
5,1,32,0,32
5,1,64,0,64
5,16,-64,0,66
5,16,-32,0,36
5,16,-16,0,22
5,16,-1,0,16
5,16,0,0,16
5,16,1,0,16
5,16,16,0,22
5,16,32,0,36
5,16,64,0,66
5,32,-64,0,72
5,32,-32,0,44
5,32,-16,0,36
5,32,-1,0,32
5,32,0,0,32
5,32,1,0,32
5,32,16,0,36
5,32,32,0,44
5,32,64,0,72
5,64,-64,0,88
5,64,-32,0,72
5,64,-16,0,66
5,64,-1,0,64
5,64,0,0,64
5,64,1,0,64
5,64,16,0,66
5,64,32,0,72
5,64,64,0,88
6,-64,-64,0,88
6,-64,-32,0,72
6,-64,-16,0,66
6,-64,-1,0,64
6,-64,0,0,64
6,-64,1,0,64
6,-64,16,0,66
6,-64,32,0,72
6,-64,64,0,88
6,-32,-64,0,72
6,-32,-32,0,44
6,-32,-16,0,36
6,-32,-1,0,32
6,-32,0,0,32
6,-32,1,0,32
6,-32,16,0,36
6,-32,32,0,44
6,-32,64,0,72
6,-16,-64,0,66
6,-16,-32,0,36
6,-16,-16,0,22
6,-16,-1,0,16
6,-16,0,0,16
6,-16,1,0,16
6,-16,16,0,22
6,-16,32,0,36
6,-16,64,0,66
6,-1,-64,0,64
6,-1,-32,0,32
6,-1,-16,0,16
6,-1,-1,0,1
6,-1,0,0,1
6,-1,1,0,1
6,-1,16,0,16
6,-1,32,0,32
6,-1,64,0,64
6,0,-64,0,64
6,0,-32,0,32
6,0,-16,0,16
6,0,-1,0,1
6,0,0,0,0
6,0,1,0,1
6,0,16,0,16
6,0,32,0,32
6,0,64,0,64
6,1,-64,0,64
6,1,-32,0,32
6,1,-16,0,16
6,1,-1,0,1
6,1,0,0,1
6,1,1,0,1
6,1,16,0,16
6,1,32,0,32
6,1,64,0,64
6,16,-64,0,66
6,16,-32,0,36
6,16,-16,0,22
6,16,-1,0,16
6,16,0,0,16
6,16,1,0,16
6,16,16,0,22
6,16,32,0,36
6,16,64,0,66
6,32,-64,0,72
6,32,-32,0,44
6,32,-16,0,36
6,32,-1,0,32
6,32,0,0,32
6,32,1,0,32
6,32,16,0,36
6,32,32,0,44
6,32,64,0,72
6,64,-64,0,88
6,64,-32,0,72
6,64,-16,0,66
6,64,-1,0,64
6,64,0,0,64
6,64,1,0,64
6,64,16,0,66
6,64,32,0,72
6,64,64,0,88
7,-64,-64,0,88
7,-64,-32,0,72
7,-64,-16,0,66
7,-64,-1,0,64
7,-64,0,0,64
7,-64,1,0,64
7,-64,16,0,66
7,-64,32,0,72
7,-64,64,0,88
7,-32,-64,0,72
7,-32,-32,0,44
7,-32,-16,0,36
7,-32,-1,0,32
7,-32,0,0,32
7,-32,1,0,32
7,-32,16,0,36
7,-32,32,0,44
7,-32,64,0,72
7,-16,-64,0,66
7,-16,-32,0,36
7,-16,-16,0,22
7,-16,-1,0,16
7,-16,0,0,16
7,-16,1,0,16
7,-16,16,0,22
7,-16,32,0,36
7,-16,64,0,66
7,-1,-64,0,64
7,-1,-32,0,32
7,-1,-16,0,16
7,-1,-1,0,1
7,-1,0,0,1
7,-1,1,0,1
7,-1,16,0,16
7,-1,32,0,32
7,-1,64,0,64
7,0,-64,0,64
7,0,-32,0,32
7,0,-16,0,16
7,0,-1,0,1
7,0,0,0,0
7,0,1,0,1
7,0,16,0,16
7,0,32,0,32
7,0,64,0,64
7,1,-64,0,64
7,1,-32,0,32
7,1,-16,0,16
7,1,-1,0,1
7,1,0,0,1
7,1,1,0,1
7,1,16,0,16
7,1,32,0,32
7,1,64,0,64
7,16,-64,0,66
7,16,-32,0,36
7,16,-16,0,22
7,16,-1,0,16
7,16,0,0,16
7,16,1,0,16
7,16,16,0,22
7,16,32,0,36
7,16,64,0,66
7,32,-64,0,72
7,32,-32,0,44
7,32,-16,0,36
7,32,-1,0,32
7,32,0,0,32
7,32,1,0,32
7,32,16,0,36
7,32,32,0,44
7,32,64,0,72
7,64,-64,0,88
7,64,-32,0,72
7,64,-16,0,66
7,64,-1,0,64
7,64,0,0,64
7,64,1,0,64
7,64,16,0,66
7,64,32,0,72
7,64,64,0,88
8,-64,-64,0,88
8,-64,-32,0,72
8,-64,-16,0,66
8,-64,-1,0,64
8,-64,0,0,64
8,-64,1,0,64
8,-64,16,0,66
8,-64,32,0,72
8,-64,64,0,88
8,-32,-64,0,72
8,-32,-32,0,44
8,-32,-16,0,36
8,-32,-1,0,32
8,-32,0,0,32
8,-32,1,0,32
8,-32,16,0,36
8,-32,32,0,44
8,-32,64,0,72
8,-16,-64,0,66
8,-16,-32,0,36
8,-16,-16,0,22
8,-16,-1,0,16
8,-16,0,0,16
8,-16,1,0,16
8,-16,16,0,22
8,-16,32,0,36
8,-16,64,0,66
8,-1,-64,0,64
8,-1,-32,0,32
8,-1,-16,0,16
8,-1,-1,0,1
8,-1,0,0,1
8,-1,1,0,1
8,-1,16,0,16
8,-1,32,0,32
8,-1,64,0,64
8,0,-64,0,64
8,0,-32,0,32
8,0,-16,0,16
8,0,-1,0,1
8,0,0,0,0
8,0,1,0,1
8,0,16,0,16
8,0,32,0,32
8,0,64,0,64
8,1,-64,0,64
8,1,-32,0,32
8,1,-16,0,16
8,1,-1,0,1
8,1,0,0,1
8,1,1,0,1
8,1,16,0,16
8,1,32,0,32
8,1,64,0,64
8,16,-64,0,66
8,16,-32,0,36
8,16,-16,0,22
8,16,-1,0,16
8,16,0,0,16
8,16,1,0,16
8,16,16,0,22
8,16,32,0,36
8,16,64,0,66
8,32,-64,0,72
8,32,-32,0,44
8,32,-16,0,36
8,32,-1,0,32
8,32,0,0,32
8,32,1,0,32
8,32,16,0,36
8,32,32,0,44
8,32,64,0,72
8,64,-64,0,88
8,64,-32,0,72
8,64,-16,0,66
8,64,-1,0,64
8,64,0,0,64
8,64,1,0,64
8,64,16,0,66
8,64,32,0,72
8,64,64,0,88
9,-64,-64,0,88
9,-64,-32,0,72
9,-64,-16,0,66
9,-64,-1,0,64
9,-64,0,0,64
9,-64,1,0,64
9,-64,16,0,66
9,-64,32,0,72
9,-64,64,0,88
9,-32,-64,0,72
9,-32,-32,0,44
9,-32,-16,0,36
9,-32,-1,0,32
9,-32,0,0,32
9,-32,1,0,32
9,-32,16,0,36
9,-32,32,0,44
9,-32,64,0,72
9,-16,-64,0,66
9,-16,-32,0,36
9,-16,-16,0,22
9,-16,-1,0,16
9,-16,0,0,16
9,-16,1,0,16
9,-16,16,0,22
9,-16,32,0,36
9,-16,64,0,66
9,-1,-64,0,64
9,-1,-32,0,32
9,-1,-16,0,16
9,-1,-1,0,1
9,-1,0,0,1
9,-1,1,0,1
9,-1,16,0,16
9,-1,32,0,32
9,-1,64,0,64
9,0,-64,0,64
9,0,-32,0,32
9,0,-16,0,16
9,0,-1,0,1
9,0,0,0,0
9,0,1,0,1
9,0,16,0,16
9,0,32,0,32
9,0,64,0,64
9,1,-64,0,64
9,1,-32,0,32
9,1,-16,0,16
9,1,-1,0,1
9,1,0,0,1
9,1,1,0,1
9,1,16,0,16
9,1,32,0,32
9,1,64,0,64
9,16,-64,0,66
9,16,-32,0,36
9,16,-16,0,22
9,16,-1,0,16
9,16,0,0,16
9,16,1,0,16
9,16,16,0,22
9,16,32,0,36
9,16,64,0,66
9,32,-64,0,72
9,32,-32,0,44
9,32,-16,0,36
9,32,-1,0,32
9,32,0,0,32
9,32,1,0,32
9,32,16,0,36
9,32,32,0,44
9,32,64,0,72
9,64,-64,0,88
9,64,-32,0,72
9,64,-16,0,66
9,64,-1,0,64
9,64,0,0,64
9,64,1,0,64
9,64,16,0,66
9,64,32,0,72
9,64,64,0,88
10,-64,-64,0,88
10,-64,-32,0,72
10,-64,-16,0,66
10,-64,-1,0,64
10,-64,0,0,64
10,-64,1,0,64
10,-64,16,0,66
10,-64,32,0,72
10,-64,64,0,88
10,-32,-64,0,72
10,-32,-32,0,44
10,-32,-16,0,36
10,-32,-1,0,32
10,-32,0,0,32
10,-32,1,0,32
10,-32,16,0,36
10,-32,32,0,44
10,-32,64,0,72
10,-16,-64,0,66
10,-16,-32,0,36
10,-16,-16,0,22
10,-16,-1,0,16
10,-16,0,0,16
10,-16,1,0,16
10,-16,16,0,22
10,-16,32,0,36
10,-16,64,0,66
10,-1,-64,0,64
10,-1,-32,0,32
10,-1,-16,0,16
10,-1,-1,0,1
10,-1,0,0,1
10,-1,1,0,1
10,-1,16,0,16
10,-1,32,0,32
10,-1,64,0,64
10,0,-64,0,64
10,0,-32,0,32
10,0,-16,0,16
10,0,-1,0,1
10,0,0,0,0
10,0,1,0,1
10,0,16,0,16
10,0,32,0,32
10,0,64,0,64
10,1,-64,0,64
10,1,-32,0,32
10,1,-16,0,16
10,1,-1,0,1
10,1,0,0,1
10,1,1,0,1
10,1,16,0,16
10,1,32,0,32
10,1,64,0,64
10,16,-64,0,66
10,16,-32,0,36
10,16,-16,0,22
10,16,-1,0,16
10,16,0,0,16
10,16,1,0,16
10,16,16,0,22
10,16,32,0,36
10,16,64,0,66
10,32,-64,0,72
10,32,-32,0,44
10,32,-16,0,36
10,32,-1,0,32
10,32,0,0,32
10,32,1,0,32
10,32,16,0,36
10,32,32,0,44
10,32,64,0,72
10,64,-64,0,88
10,64,-32,0,72
10,64,-16,0,66
10,64,-1,0,64
10,64,0,0,64
10,64,1,0,64
10,64,16,0,66
10,64,32,0,72
10,64,64,0,88
11,-64,-64,0,88
11,-64,-32,0,72
11,-64,-16,0,66
11,-64,-1,0,64
11,-64,0,0,64
11,-64,1,0,64
11,-64,16,0,66
11,-64,32,0,72
11,-64,64,0,88
11,-32,-64,0,72
11,-32,-32,0,44
11,-32,-16,0,36
11,-32,-1,0,32
11,-32,0,0,32
11,-32,1,0,32
11,-32,16,0,36
11,-32,32,0,44
11,-32,64,0,72
11,-16,-64,0,66
11,-16,-32,0,36
11,-16,-16,0,22
11,-16,-1,0,16
11,-16,0,0,16
11,-16,1,0,16
11,-16,16,0,22
11,-16,32,0,36
11,-16,64,0,66
11,-1,-64,0,64
11,-1,-32,0,32
11,-1,-16,0,16
11,-1,-1,0,1
11,-1,0,0,1
11,-1,1,0,1
11,-1,16,0,16
11,-1,32,0,32
11,-1,64,0,64
11,0,-64,0,64
11,0,-32,0,32
11,0,-16,0,16
11,0,-1,0,1
11,0,0,0,0
11,0,1,0,1
11,0,16,0,16
11,0,32,0,32
11,0,64,0,64
11,1,-64,0,64
11,1,-32,0,32
11,1,-16,0,16
11,1,-1,0,1
11,1,0,0,1
11,1,1,0,1
11,1,16,0,16
11,1,32,0,32
11,1,64,0,64
11,16,-64,0,66
11,16,-32,0,36
11,16,-16,0,22
11,16,-1,0,16
11,16,0,0,16
11,16,1,0,16
11,16,16,0,22
11,16,32,0,36
11,16,64,0,66
11,32,-64,0,72
11,32,-32,0,44
11,32,-16,0,36
11,32,-1,0,32
11,32,0,0,32
11,32,1,0,32
11,32,16,0,36
11,32,32,0,44
11,32,64,0,72
11,64,-64,0,88
11,64,-32,0,72
11,64,-16,0,66
11,64,-1,0,64
11,64,0,0,64
11,64,1,0,64
11,64,16,0,66
11,64,32,0,72
11,64,64,0,88
12,-64,-64,0,88
12,-64,-32,0,72
12,-64,-16,0,66
12,-64,-1,0,64
12,-64,0,0,64
12,-64,1,0,64
12,-64,16,0,66
12,-64,32,0,72
12,-64,64,0,88
12,-32,-64,0,72
12,-32,-32,0,44
12,-32,-16,0,36
12,-32,-1,0,32
12,-32,0,0,32
12,-32,1,0,32
12,-32,16,0,36
12,-32,32,0,44
12,-32,64,0,72
12,-16,-64,0,66
12,-16,-32,0,36
12,-16,-16,0,22
12,-16,-1,0,16
12,-16,0,0,16
12,-16,1,0,16
12,-16,16,0,22
12,-16,32,0,36
12,-16,64,0,66
12,-1,-64,0,64
12,-1,-32,0,32
12,-1,-16,0,16
12,-1,-1,0,1
12,-1,0,0,1
12,-1,1,0,1
12,-1,16,0,16
12,-1,32,0,32
12,-1,64,0,64
12,0,-64,0,64
12,0,-32,0,32
12,0,-16,0,16
12,0,-1,0,1
12,0,0,0,0
12,0,1,0,1
12,0,16,0,16
12,0,32,0,32
12,0,64,0,64
12,1,-64,0,64
12,1,-32,0,32
12,1,-16,0,16
12,1,-1,0,1
12,1,0,0,1
12,1,1,0,1
12,1,16,0,16
12,1,32,0,32
12,1,64,0,64
12,16,-64,0,66
12,16,-32,0,36
12,16,-16,0,22
12,16,-1,0,16
12,16,0,0,16
12,16,1,0,16
12,16,16,0,22
12,16,32,0,36
12,16,64,0,66
12,32,-64,0,72
12,32,-32,0,44
12,32,-16,0,36
12,32,-1,0,32
12,32,0,0,32
12,32,1,0,32
12,32,16,0,36
12,32,32,0,44
12,32,64,0,72
12,64,-64,0,88
12,64,-32,0,72
12,64,-16,0,66
12,64,-1,0,64
12,64,0,0,64
12,64,1,0,64
12,64,16,0,66
12,64,32,0,72
12,64,64,0,88
13,-64,-64,0,88
13,-64,-32,0,72
13,-64,-16,0,66
13,-64,-1,0,64
13,-64,0,0,64
13,-64,1,0,64
13,-64,16,0,66
13,-64,32,0,72
13,-64,64,0,88
13,-32,-64,0,72
13,-32,-32,0,44
13,-32,-16,0,36
13,-32,-1,0,32
13,-32,0,0,32
13,-32,1,0,32
13,-32,16,0,36
13,-32,32,0,44
13,-32,64,0,72
13,-16,-64,0,66
13,-16,-32,0,36
13,-16,-16,0,22
13,-16,-1,0,16
13,-16,0,0,16
13,-16,1,0,16
13,-16,16,0,22
13,-16,32,0,36
13,-16,64,0,66
13,-1,-64,0,64
13,-1,-32,0,32
13,-1,-16,0,16
13,-1,-1,0,1
13,-1,0,0,1
13,-1,1,0,1
13,-1,16,0,16
13,-1,32,0,32
13,-1,64,0,64
13,0,-64,0,64
13,0,-32,0,32
13,0,-16,0,16
13,0,-1,0,1
13,0,0,0,0
13,0,1,0,1
13,0,16,0,16
13,0,32,0,32
13,0,64,0,64
13,1,-64,0,64
13,1,-32,0,32
13,1,-16,0,16
13,1,-1,0,1
13,1,0,0,1
13,1,1,0,1
13,1,16,0,16
13,1,32,0,32
13,1,64,0,64
13,16,-64,0,66
13,16,-32,0,36
13,16,-16,0,22
13,16,-1,0,16
13,16,0,0,16
13,16,1,0,16
13,16,16,0,22
13,16,32,0,36
13,16,64,0,66
13,32,-64,0,72
13,32,-32,0,44
13,32,-16,0,36
13,32,-1,0,32
13,32,0,0,32
13,32,1,0,32
13,32,16,0,36
13,32,32,0,44
13,32,64,0,72
13,64,-64,0,88
13,64,-32,0,72
13,64,-16,0,66
13,64,-1,0,64
13,64,0,0,64
13,64,1,0,64
13,64,16,0,66
13,64,32,0,72
13,64,64,0,88
14,-64,-64,0,88
14,-64,-32,0,72
14,-64,-16,0,66
14,-64,-1,0,64
14,-64,0,0,64
14,-64,1,0,64
14,-64,16,0,66
14,-64,32,0,72
14,-64,64,0,88
14,-32,-64,0,72
14,-32,-32,0,44
14,-32,-16,0,36
14,-32,-1,0,32
14,-32,0,0,32
14,-32,1,0,32
14,-32,16,0,36
14,-32,32,0,44
14,-32,64,0,72
14,-16,-64,0,66
14,-16,-32,0,36
14,-16,-16,0,22
14,-16,-1,0,16
14,-16,0,0,16
14,-16,1,0,16
14,-16,16,0,22
14,-16,32,0,36
14,-16,64,0,66
14,-1,-64,0,64
14,-1,-32,0,32
14,-1,-16,0,16
14,-1,-1,0,1
14,-1,0,0,1
14,-1,1,0,1
14,-1,16,0,16
14,-1,32,0,32
14,-1,64,0,64
14,0,-64,0,64
14,0,-32,0,32
14,0,-16,0,16
14,0,-1,0,1
14,0,0,0,0
14,0,1,0,1
14,0,16,0,16
14,0,32,0,32
14,0,64,0,64
14,1,-64,0,64
14,1,-32,0,32
14,1,-16,0,16
14,1,-1,0,1
14,1,0,0,1
14,1,1,0,1
14,1,16,0,16
14,1,32,0,32
14,1,64,0,64
14,16,-64,0,66
14,16,-32,0,36
14,16,-16,0,22
14,16,-1,0,16
14,16,0,0,16
14,16,1,0,16
14,16,16,0,22
14,16,32,0,36
14,16,64,0,66
14,32,-64,0,72
14,32,-32,0,44
14,32,-16,0,36
14,32,-1,0,32
14,32,0,0,32
14,32,1,0,32
14,32,16,0,36
14,32,32,0,44
14,32,64,0,72
14,64,-64,0,88
14,64,-32,0,72
14,64,-16,0,66
14,64,-1,0,64
14,64,0,0,64
14,64,1,0,64
14,64,16,0,66
14,64,32,0,72
14,64,64,0,88
15,-64,-64,0,88
15,-64,-32,0,72
15,-64,-16,0,66
15,-64,-1,0,64
15,-64,0,0,64
15,-64,1,0,64
15,-64,16,0,66
15,-64,32,0,72
15,-64,64,0,88
15,-32,-64,0,72
15,-32,-32,0,44
15,-32,-16,0,36
15,-32,-1,0,32
15,-32,0,0,32
15,-32,1,0,32
15,-32,16,0,36
15,-32,32,0,44
15,-32,64,0,72
15,-16,-64,0,66
15,-16,-32,0,36
15,-16,-16,0,22
15,-16,-1,0,16
15,-16,0,0,16
15,-16,1,0,16
15,-16,16,0,22
15,-16,32,0,36
15,-16,64,0,66
15,-1,-64,0,64
15,-1,-32,0,32
15,-1,-16,0,16
15,-1,-1,0,1
15,-1,0,0,1
15,-1,1,0,1
15,-1,16,0,16
15,-1,32,0,32
15,-1,64,0,64
15,0,-64,0,64
15,0,-32,0,32
15,0,-16,0,16
15,0,-1,0,1
15,0,0,0,0
15,0,1,0,1
15,0,16,0,16
15,0,32,0,32
15,0,64,0,64
15,1,-64,0,64
15,1,-32,0,32
15,1,-16,0,16
15,1,-1,0,1
15,1,0,0,1
15,1,1,0,1
15,1,16,0,16
15,1,32,0,32
15,1,64,0,64
15,16,-64,0,66
15,16,-32,0,36
15,16,-16,0,22
15,16,-1,0,16
15,16,0,0,16
15,16,1,0,16
15,16,16,0,22
15,16,32,0,36
15,16,64,0,66
15,32,-64,0,72
15,32,-32,0,44
15,32,-16,0,36
15,32,-1,0,32
